,address,kaptAddr
389,서울특별시 강남구 언주로130길 30,서울특별시 강남구 논현동 245- 동양파라곤
390,서울특별시 강남구 학동로 165,서울특별시 강남구 논현동 58-2 마일스디오빌
391,서울특별시 강남구 학동로46길 38,서울특별시 강남구 논현동 252-1 논현두산위브1단지
392,서울특별시 강남구 언주로85길 13,서울특별시 강남구 역삼동 722- 역삼경남
393,서울특별시 강남구 선릉로 423,서울특별시 강남구 역삼동 716- 역삼동부센트레빌
394,서울특별시 강남구 도곡로3길 26,서울특별시 강남구 역삼동 836- 역삼한스빌아파트
395,서울특별시 강남구 역삼로 309,서울특별시 강남구 역삼동 713-7 역삼래미안펜타빌
396,서울특별시 강남구 역삼로 307,서울특별시 강남구 역삼동 713-11 역삼아이파크
397,서울특별시 강남구 테헤란로4길 46,서울특별시 강남구 역삼동 826-37 역삼쌍용플래티넘밸류
398,서울특별시 강남구 테헤란로52길 16,서울특별시 강남구 역삼동 709- 테헤란 IPARK
399,서울특별시 강남구 학동로64길 14,서울특별시 강남구 삼성동 6- 삼성현대
400,서울특별시 강남구 학동로64길 7,서울특별시 강남구 삼성동 4-6 삼성한솔
401,서울특별시 강남구 선릉로130길 19,서울특별시 강남구 삼성동 2- 삼성서광
402,서울특별시 강남구 학동로 432,서울특별시 강남구 삼성동 17- 삼성롯데
403,서울특별시 강남구 영동대로 640,서울특별시 강남구 삼성동 87- 아이파크삼성동
404,서울특별시 강남구 선릉로126길 22,서울특별시 강남구 삼성동 11- 삼성롯데캐슬프레미어
405,서울특별시 강남구 학동로68길 29,서울특별시 강남구 삼성동 16-2 삼성힐스테이트1단지
406,서울특별시 강남구 영동대로114길 56,서울특별시 강남구 삼성동 105- 래미안삼성1차(105)
407,서울특별시 강남구 삼성로133길 20,서울특별시 강남구 청담동 33- 청담삼성1차
408,서울특별시 강남구 도산대로 454,서울특별시 강남구 청담동 5-25 청담휴먼스타빌
409,서울특별시 강남구 학동로87길 9,서울특별시 강남구 청담동 65- 청담삼성진흥
410,서울특별시 강남구 영동대로142길 16,서울특별시 강남구 청담동 134- 청담래미안로이뷰
412,서울특별시 강남구 도산대로101길 29,서울특별시 강남구 청담동 127-31 청담현대3차
413,서울특별시 강남구 학동로77길 49,서울특별시 강남구 청담동 10- 청담삼환
414,서울특별시 강남구 학동로 405,서울특별시 강남구 청담동 42- 청담래미안
415,서울특별시 강남구 압구정로11길 17,서울특별시 강남구 압구정동 414- 압구정미성1차
416,서울특별시 강남구 압구정로 151,서울특별시 강남구 압구정동 426- 압구정신현대
417,서울특별시 강남구 헌릉로590길 10,서울특별시 강남구 세곡동 511- 강남신동아파밀리에2단지
418,서울특별시 강남구 헌릉로590길 11,서울특별시 강남구 세곡동 516- 세곡리엔파크3단지
419,서울특별시 강남구 헌릉로590길 88,서울특별시 강남구 세곡동 522- 세곡리엔파크4단지
420,서울특별시 강남구 자곡로 21,서울특별시 강남구 세곡동 533- 세곡푸르지오
421,서울특별시 강남구 헌릉로571길 20,서울특별시 강남구 세곡동 579- 강남엘에이치1단지
422,서울특별시 강남구 밤고개로21길 25,서울특별시 강남구 자곡동 361- 래미안포레
493,서울특별시 강남구 광평로51길 27,서울특별시 강남구 수서동 708- 수서삼익
494,서울특별시 강남구 광평로31길 27,서울특별시 강남구 수서동 747- 수서삼성
495,서울특별시 강남구 광평로10길 50,서울특별시 강남구 일원동 739- 일원청솔빌리지
496,서울특별시 강남구 일원로 127,서울특별시 강남구 일원동 735- 수서가람
497,서울특별시 강남구 개포로 307,서울특별시 강남구 개포동 652- 개포우성3차
498,서울특별시 강남구 개포로 303,서울특별시 강남구 개포동 653- 개포현대1차
499,서울특별시 강남구 언주로 107,서울특별시 강남구 개포동 654- 개포2차 현대아파트
500,서울특별시 강남구 개포로109길 9,서울특별시 강남구 개포동 12- 개포대치2단지
501,서울특별시 강남구 논현로51길 25,서울특별시 강남구 도곡동 964- 도곡현대그린
502,서울특별시 강남구 언주로 118,서울특별시 강남구 도곡동 467-24 우성캐릭터199 아파트
503,서울특별시 강남구 언주로30길 10,서울특별시 강남구 도곡동 467-19 현대비전21
504,서울특별시 강남구 논현로 218,서울특별시 강남구 도곡동 869- 역삼삼익
505,서울특별시 강남구 도곡로28길 8,서울특별시 강남구 도곡동 543-7 도곡1차아이파크
506,서울특별시 강남구 논현로 209,서울특별시 강남구 도곡동 967- 도곡경남
507,서울특별시 강남구 남부순환로363길 49,서울특별시 강남구 도곡동 934-10 도곡우성아파트
