bjdCode,codeAptNm,codeHallNm,codeHeatNm,codeMgrNm,codeSaleNm,doroJuso,hoCnt,kaptAcompany,kaptAddr,kaptBaseFloor,kaptBcompany,kaptCode,kaptDongCnt,kaptFax,kaptMarea,kaptMparea_135,kaptMparea_136,kaptMparea_60,kaptMparea_85,kaptName,kaptTarea,kaptTel,kaptTopFloor,kaptUrl,kaptUsedate,kaptdEcntp,kaptdaCnt,ktownFlrNo,privArea,zipcode
1141011100,아파트,혼합식,개별난방,위탁관리,분양,서울특별시 서대문구 모래내로 430,242,태진연립주택조합,서울특별시 서대문구 홍제동 456- 홍제성원아파트,3,성원산업개발(주),A12009201,3,027230959,22272.12,60,0,152,30,홍제성원아파트,32437.29,027200959,17, ,19980511,0,242,17,16636.44,03728
1141011100,아파트,혼합식,개별난방,위탁관리,분양,서울특별시 서대문구 통일로 319,474,삼성래미안,서울특별시 서대문구 홍제동 461- 홍제삼성래미안,3,삼성래미안,A12009202,6,0263511248,42193.08,90,0,268,116,홍제삼성래미안,56189,027301248,15, ,20010613,11,474,15,32648.58,03731
1141011100,아파트,혼합식,개별난방,위탁관리,혼합,서울특별시 서대문구 세검정로 134,554,지역조합,서울특별시 서대문구 홍제동 454- 홍제유원하나,2,유원건설,A12009304,5,023965552,58619.18,153,0,132,269,홍제유원하나,61031,023953825,18, ,19960807,12,554,18,45054.5,03620
1141011100,아파트,혼합식,개별난방,위탁관리,분양,서울특별시 서대문구 문화촌길 6-24,767,현대,서울특별시 서대문구 홍제동 463- 문화촌현대,3,고려개발,A12009305,4,023790333,76865.951,0,0,309,459,문화촌현대,90620.067,023962067,20, ,20021122,16,768,20,57471.93,03625
1141011800,아파트,복도식,개별난방,자치관리,분양,서울특별시 서대문구 통일로48가길 37,181,.,서울특별시 서대문구 홍은동 440-3 홍은풍림1차,0,.,A12010101,1,0232168058,15910.4,0,0,109,72,홍은풍림1차,16197.56,0232168057,12, ,19880209,2,181,12,10816.65,03615
1141011800,아파트,계단식,개별난방,위탁관리,분양,서울특별시 서대문구 홍은중앙로 149,333,건양RND,서울특별시 서대문구 홍은동 460- 홍은풍림아이원,5,풍림산업(주),A12010202,7,023799766,44774.71,142,0,0,191,홍은풍림아이원,56668.175,023799765,20, ,20021122,10,333,20,33620.148,03600
1141011800,아파트,계단식,개별난방,위탁관리,분양,서울특별시 서대문구 포방터10길 33,488,공익건설(주)외 9개 조합,서울특별시 서대문구 홍은동 454- 홍은극동,0,극동건설,A12010203,6,023951919,52867.87,0,15,0,473,홍은극동,60124.88,023911919,18, ,19951102,17,488,18,42398.86,03601
1141011700,아파트,혼합식,개별난방,위탁관리,분양,서울특별시 서대문구 연희로 38-20,562,대우건설(주),서울특별시 서대문구 연희동 739- 연희대우,3,대우건설(주),A12011002,7,0231418602,59497.716,120,0,246,196,연희대우,81339.88,0231418600,22, ,20020730,12,562,22,45032.934,03781
1141012000,아파트,계단식,개별난방,위탁관리,분양,서울특별시 서대문구 거북골로 91-6,110,쌍용건설,서울특별시 서대문구 남가좌동 380- 쌍용스윗닷홈,1,쌍용건설,A12012001,1,023032531,12686.2,20,0,0,90,쌍용스윗닷홈,15107.09,023032530,20, ,20051209,3,110,20,10212.4,03710
1141012000,아파트,계단식,개별난방,위탁관리,분양,서울특별시 서대문구 수색로6길 43,503,삼성건설,서울특별시 서대문구 남가좌동 379- 래미안남가좌2차,2,삼성건설,A12012101,10,023763736,51203.298,81,0,214,208,래미안남가좌2차,80843,023763732,15, ,20051026,19,503,15,39732.513,03791
1141012000,아파트,혼합식,개별난방,위탁관리,분양,서울특별시 서대문구 증가로 191,1114,남가좌 7재개발조합,서울특별시 서대문구 남가좌동 377- DMC래미안클라시스(분양),1,삼성물산(주),A12012202,14,023762745,120693.1904,265,0,425,424,DMC래미안클라시스(분양),158327,023762743,20,dmcclassis.aptner.com,20001215,36,1114,20,91868.31,03686
1141011900,아파트,계단식,개별난방,위탁관리,분양,서울특별시 서대문구 거북골로18가길 23,197, ,서울특별시 서대문구 북가좌동 456- DMC휴먼빌,0,일신건영,A12013001,4,023030227,21656.1976,48,0,0,149,DMC휴먼빌,30955.07,023030232,15, ,20081223,7,197,15,18163.95,03691
1141011900,아파트,혼합식,지역난방,위탁관리,혼합,서울특별시 서대문구 수색로 100,3293,가재울뉴타운제3구역재재발조합,서울특별시 서대문구 북가좌동 481- DMC래미안e편한세상,0,"삼성물산, 대림산업",A12013003,51,023023107,363588.83,504,146,986,1657,DMC래미안e편한세상,575494.03,023023105,35,dmcre.co.kr,20121005,0,3293,35,271661.76,03709
1141011900,아파트,혼합식,개별난방,자치관리,분양,서울특별시 서대문구 응암로 33,213,북가좌 제 2주택조합,서울특별시 서대문구 북가좌동 453- 디엠씨현대,2,현대건설(주),A12013101,3,023028589,16130.24,0,0,56,157,디엠씨현대,24672.48,023038589,15, ,20000929,7,213,15,16130.24,03714
