전기사용금액,가스사용금액,난방사용금액,전기사용량,가스사용량,난방사용량,냉수사용량,온수사용량,kaptCode,냉수사용금액,온수사용금액,집계날짜
13722930,0,0,55894,0,0,2844,0,A12009201,3733310,0,202401
27611870,0,0,109783,0,0,5815,0,A12009202,7653850,0,202401
33718930,0,0,154951,0,0,8740,0,A12009304,12264450,0,202401
42936140,0,0,196110,0,0,13320,0,A12009305,14111460,0,202401
7274870,0,0,34565,0,0,2235,0,A12010101,2700180,0,202401
24243737,0,0,100019,0,0,6155,0,A12010202,6723660,0,202401
30286089,0,0,143276,0,0,0,0,A12010203,950450,0,202401
35233663,0,0,163941,0,0,9237,0,A12011002,10289170,0,202401
0,0,0,0,0,0,0,0,A12012001,0,0,202401
38146667,0,0,143981,0,0,7796,0,A12012101,10149640,0,202401
69063698,-3600,0,332270,11144,0,20403,0,A12012202,25190360,0,202401
15516146,0,0,60931,0,0,0,0,A12013001,0,0,202401
270902370,0,330241530,1039408,0,3146,59983,21499,A12013003,65891260,190557680,202401
3275820,0,0,0,0,0,0,0,A12013101,0,0,202401
21873840,0,0,75630,0,0,4228,0,A12013201,5095170,0,202401
38449283,0,77766980,167847,0,664,10589,3830,A12013202,12188220,24467200,202401
45775686,0,0,205578,0,0,0,0,A12017001,400000,0,202401
3198810,0,0,20864,0,0,0,0,A12070201,192890,0,202401
19351660,0,0,76902,0,0,4239,0,A12071001,5472770,0,202401
18142020,0,0,82728,0,0,4523,0,A12071003,5585140,0,202401
39910346,0,0,169484,0,0,10059,0,A12071101,12064660,0,202401
13257820,0,0,50197,0,0,2876,0,A12071102,3367190,0,202401
31926000,0,44734050,133662,0,436,7572,2842,A12072801,9506860,26730920,202401
9944750,0,0,58159,0,0,3346,0,A12072802,2459250,0,202401
0,0,0,0,0,0,0,0,A12076401,0,0,202401
3652230,0,0,0,0,0,2523,0,A12076601,2229980,0,202401
7756130,14780,0,39533,0,0,2742,0,A12078201,2005230,0,202401
57777122,0,0,267976,0,0,18202,0,A12078704,23250400,0,202401
41992330,0,0,195060,0,0,12179,0,A12078705,15446970,0,202401
44356814,0,0,276506,0,0,14628,0,A12079501,16779210,0,202401
15192262,0,0,66409,0,0,3923,0,A12081602,4726190,0,202401
37807750,0,86019990,223536,0,721,12493,3998,A12081703,14312000,23108440,202401
33462469,0,0,154981,0,0,9146,0,A12084504,11295540,0,202401
47706170,0,0,241277,0,0,15753,0,A12085303,18181910,0,202401
9668936,0,0,60963,0,0,2713,0,A12086001,3086600,0,202401
11640280,0,0,52717,0,0,2997,0,A12101001,3674590,0,202401
15075700,0,241750,58203,0,0,3313,0,A12102002,4146330,0,202401
26048597,0,0,117224,0,0,7063,0,A12102005,8251150,0,202401
45222697,149680,0,209699,0,0,11844,0,A12102008,13104280,0,202401
9808360,0,0,0,0,0,0,0,A12103006,2626870,0,202401
59102330,0,180279810,277994,10772,0,0,6013,A12104005,0,37846970,202401
21060899,0,0,92830,0,0,5158,0,A12105001,5870150,0,202401
28043290,0,63882010,162953,0,22823,7126,2575,A12106001,8581470,17690250,202401
13265834,0,0,68597,0,0,3016,0,A12111001,3410810,0,202401
13611220,11160,0,77944,11,0,3321,0,A12112001,4095220,0,202401
35751290,0,328170,154013,0,0,8850,0,A12114001,10174170,0,202401
50325491,0,0,198775,0,0,11663,0,A12119006,14764500,0,202401
55935302,0,134043910,229968,0,1015,14945,5277,A12125202,17404680,31925850,202401
39202960,0,67069640,133499,0,53076,7901,2777,A12127001,9403420,16606460,202401
39825510,0,75394840,151274,0,48907,9217,3717,A12127002,10602680,17438630,202401
39305810,0,70827220,155532,0,36415,10073,3733,A12127003,11979640,22024700,202401
40857205,0,77591360,395611,0,88392,21547,8690,A12127004,12753360,26083400,202401
9161100,0,0,49377,0,0,0,0,A10028201,0,0,202401
13870437,0,0,69227,0,0,3600,0,A10044001,4007940,0,202401
139788757,0,0,710294,0,0,24135,0,A10044002,24898040,0,202401
40803150,0,0,142241,0,0,7995,0,A10045001,9002160,0,202401
72347948,0,0,264217,0,0,14004,0,A10045002,16549530,0,202401
15785220,236640,0,113126,0,0,12439,0,A10045402,0,0,202401
64101243,0,0,288709,0,0,16945,0,A10045403,22828930,0,202401
87177425,0,0,428709,0,0,23005,0,A10045404,38105080,0,202401
43552035,0,0,114349,0,0,4091,0,A10072501,5612890,0,202401
8210210,0,17380,10136,0,0,169,0,A10078102,2653250,0,202401
6087580,0,105420,39168,0,0,2393,0,A10078103,2708300,0,202401
76686287,0,0,263911,0,0,12983,0,A10078901,13388410,0,202401
5145010,0,0,36456,0,0,2321,0,A10078902,2426640,0,202401
11846050,0,0,65076,0,0,3222,0,A10085902,2408230,0,202401
42272560,127880,0,198527,0,0,12200,0,A10085903,14437400,0,202401
18667320,0,0,107703,0,0,3680,0,A10086301,3509510,0,202401
37420875,0,0,108642,0,0,4654,0,A10086801,5123520,0,202401
43599085,198000,0,115939,0,0,0,0,A10088101,0,0,202401
60990940,0,43577190,144306,0,55161,5163,2076,A10088102,6244470,11382000,202401
12142490,0,0,46211,0,0,0,0,A11001203,0,0,202401
21764709,0,0,61439,0,0,2518,0,A11007001,2903550,0,202401
0,0,0,0,0,0,0,0,A11014001,0,0,202401
12212880,0,0,51965,0,0,2443,0,A11034001,3066440,0,202401
31969965,0,0,104591,0,0,4941,0,A11041001,6345160,0,202401
26929680,491240,0,119581,0,0,6964,0,A11052201,8002930,0,202401
