bjdCode,codeAptNm,codeHallNm,codeHeatNm,codeMgrNm,codeSaleNm,address,hoCnt,kaptAcompany,kaptAddr,kaptBaseFloor,kaptBcompany,kaptCode,kaptDongCnt,kaptFax,kaptMarea,kaptMparea_135,kaptMparea_136,kaptMparea_60,kaptMparea_85,kaptName,kaptTarea,kaptTel,kaptTopFloor,kaptUrl,kaptUsedate,kaptdEcntp,kaptdaCnt,ktownFlrNo,privArea,zipcode,cleaned_address,lat,lon,전기사용량
1121510700,아파트,혼합식,개별난방,자치관리,분양,서울특별시 광진구 동일로24길 5,253.0,서평개발(주),서울특별시 광진구 화양동 234- 화양현대,2.0,현대건설(주),A14313001,3,024998316,23874.92,0.0,0.0,138.0,115.0,화양현대,30410.03,024998121,23, ,19990520.0,5.0,253.0,23.0,18026.25,5014.0,서울특별시 광진구 화양동 234-,37.5444194877345,127.065895208197,0
1121510500,아파트,혼합식,개별난방,위탁관리,분양,서울특별시 광진구 자양로3길 55,150.0,진주타운재건축조합,서울특별시 광진구 자양동 666-28 자양경남아너스빌,1.0,대아건설,A14319001,1,0234374442,15270.2,0.0,0.0,70.0,80.0,자양경남아너스빌,18339.81,0234374442,19, ,19970524.0,3.0,150.0,19.0,10974.1,5105.0,서울특별시 광진구 자양동 666-28,37.5294768495965,127.083931925098,0
1121510500,아파트,계단식,개별난방,자치관리,분양,서울특별시 광진구 뚝섬로56길 72,182.0,고려산업개발,서울특별시 광진구 자양동 645-5 자양현대,0.0,고려산업개발,A14319003,2,024446740,21445.608,0.0,0.0,0.0,182.0,자양현대,21455.0,024446705,18, ,19930527.0,3.0,182.0,18.0,15281.54,5108.0,서울특별시 광진구 자양동 645-5,37.528030561539,127.082655081887,0
1121510500,아파트,계단식,개별난방,위탁관리,분양,서울특별시 광진구 뚝섬로34길 9,235.0,총무처조합아파트,서울특별시 광진구 자양동 761- 자양2차현대,2.0,현대산업개발,A14319006,1,024562278,19697.01,0.0,0.0,35.0,200.0,자양2차현대,28557.21,024535310,19, ,19950422.0,7.0,235.0,19.0,19064.56,5090.0,서울특별시 광진구 자양동 761-,37.5341773172557,127.070360929513,0
1121510500,아파트,계단식,개별난방,위탁관리,분양,서울특별시 광진구 뚝섬로36길 19,257.0,자양2지구 재건축 주택조합,서울특별시 광진구 자양동 789- 자양현대홈타운8차,1.0,현대건설(주),A14319007,5,0234379298,28391.5,76.0,0.0,0.0,181.0,자양현대홈타운8차,36671.5,0234379297,19,홈페이지 없음,20020508.0,7.0,257.0,19.0,22805.75,5091.0,서울특별시 광진구 자양동 789-,37.5337788171072,127.072279758867,0
1121510500,아파트,혼합식,개별난방,위탁관리,분양,서울특별시 광진구 뚝섬로31길 20,314.0,자양대림재건축조합,서울특별시 광진구 자양동 784-1 자양대동,2.0,(주)대동주택,A14319008,4,024615560,30759.12,20.0,0.0,156.0,138.0,자양대동,42149.754,024615561,25, ,19990310.0,7.0,314.0,25.0,23248.34,5074.0,서울특별시 광진구 자양동 784-1,37.5360054106722,127.068118549957,0
1121510500,아파트,혼합식,개별난방,위탁관리,분양,서울특별시 광진구 뚝섬로52마길 56,322.0,로얄 재건축 주택조합,서울특별시 광진구 자양동 644- 자양로얄동아,2.0,(주)동아건설,A14319009,4,0234378969,25222.21,50.0,0.0,133.0,139.0,자양로얄동아,43220.06,0234373905,25, ,19990916.0,6.0,322.0,25.0,25222.21,5108.0,서울특별시 광진구 자양동 644-,37.5280907308879,127.081382979101,0
1121510500,아파트,혼합식,개별난방,위탁관리,분양,서울특별시 광진구 뚝섬로 569,656.0,우성건설,서울특별시 광진구 자양동 579- 자양우성1차,0.0,제일은행강동구청주택사업,A14319011,6,024550368,54704.32,0.0,0.0,386.0,270.0,자양우성1차,55720.49,024478214,15,자양1차우성.apti.co.kr,19880913.0,15.0,656.0,15.0,43139.88,5069.0,서울특별시 광진구 자양동 579-,37.5343511422776,127.073577477923,0
1121510500,주상복합,복도식,개별난방,위탁관리,분양,서울특별시 광진구 아차산로 262,1177.0,건국대학교,서울특별시 광진구 자양동 227-7 자양더샵스타시티,3.0,posco,A14319012,4,0234052108,208368.13,546.0,631.0,0.0,0.0,자양더샵스타시티,327563.0,0234052100,58,더샵스타시티.apti.co.kr,20070122.0,27.0,1177.0,58.0,157669.49,5065.0,서울특별시 광진구 자양동 227-7,37.5370016363785,127.072962760454,0
1121510500,아파트,복도식,개별난방,위탁관리,분양,서울특별시 광진구 능동로3길 17,140.0,성원건설,서울특별시 광진구 자양동 831-1 한강성원,2.0,성원건설,A14319013,1,0234093464,14560.0,0.0,0.0,56.0,84.0,한강성원,18427.93,0234093464,18, ,19970808.0,2.0,140.0,18.0,10395.8,5086.0,서울특별시 광진구 자양동 831-1,37.5332948538944,127.065709260433,0
