bjdCode,codeAptNm,codeHallNm,codeHeatNm,codeMgrNm,codeSaleNm,address,hoCnt,kaptAcompany,kaptAddr,kaptBaseFloor,kaptBcompany,kaptCode,kaptDongCnt,kaptFax,kaptMarea,kaptMparea_135,kaptMparea_136,kaptMparea_60,kaptMparea_85,kaptName,kaptTarea,kaptTel,kaptTopFloor,kaptUrl,kaptUsedate,kaptdEcntp,kaptdaCnt,ktownFlrNo,privArea,zipcode,전기사용금액,가스사용금액,난방사용금액,전기사용량,가스사용량,난방사용량,냉수사용량,온수사용량,냉수사용금액,온수사용금액,집계날짜,cleaned_address,lat,lon
1153010200,아파트,계단식,개별난방,자치관리,분양,서울 구로구 공원로 41,104.0,현대건설(주),서울특별시 구로구 구로동 108- 현대파크빌아파트,2.0,(주)현대건설,A10020947,1,028690642,23127.247,0.0,104.0,0.0,0.0,현대파크빌아파트,23127.2471,028690690,1, ,19991206.0,0.0,104.0,,,,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 구로구 구로동 108-,37.50036882384,126.889924711112
1153010100,주상복합,타워형,개별난방,위탁관리,분양,서울 구로구 경인로 584,96.0,(주)고속도로관리공단,서울특별시 구로구 신도림동 412-3 신도림팰러티움,5.0,(주)고속도로관리공단,A10021030,1, ,15526.8,0.0,96.0,0.0,0.0,신도림팰러티움,26554.76,0226721300,26, ,20061009.0,2.0,96.0,,,,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 구로구 신도림동 412-3,37.5038211816766,126.881697047054
1153010200,아파트,계단식,개별난방,위탁관리,분양,서울 구로구 구일로8길 121,116.0,현대건설(주),서울특별시 구로구 구로동 642-33 구로현대의보아파트,0.0,현대건설(주),A10021077,1,028390144,13267.7,116.0,0.0,0.0,0.0,구로현대의보아파트,13268.09,028390990,1, ,19941004.0,,116.0,,,,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 구로구 구로동 642-33,37.4985533776036,126.876430284326
1153011100,아파트,복도식,개별난방,위탁관리,임대,서울 구로구 오리로 1102-13,138.0,sh공사,서울특별시 구로구 천왕동 280-2 천왕연지마을2단지,1.0,sh공사,A10021128,1,0226888822,10071.66,33.0,0.0,50.0,55.0,천왕연지마을2단지,10071.66,0226880022,1, ,20170830.0,,138.0,,,,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 구로구 천왕동 280-2,37.4847535592833,126.842429822378
1153010200,아파트,계단식,개별난방,위탁관리,분양,서울 구로구 도림로20길 50,111.0,우민산업개발(주),서울특별시 구로구 구로동 1279- 우민늘푸른아파트,1.0,우민산업개발(주),A10021214,1,028574125,10782.74,69.0,0.0,0.0,42.0,우민늘푸른아파트,,028574144,1, ,20041008.0,5.0,111.0,,,,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 구로구 구로동 1279-,37.4882597225362,126.893837128928
1153010200,아파트,계단식,개별난방,자치관리,분양,서울 구로구 구로동로42길 77,109.0,안흥재건축조합,서울특별시 구로구 구로동 1270- 뉴홍현솔레디움아파트,0.0,(주)홍현건설,A10021330,1, ,11580.39,109.0,0.0,0.0,0.0,뉴홍현솔레디움아파트,14631.0,028652908,1,(주)홍현건설,20021223.0,0.0,109.0,,,,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 구로구 구로동 1270-,37.4988496409134,126.883537704987
1153010200,아파트,계단식,개별난방,위탁관리,분양,서울 구로구 구로동로28길 42,148.0,신영건설,서울특별시 구로구 구로동 1287- 구로지웰아파트,0.0,신영건설,A10021345,2,028593391,11855.614,33.0,0.0,0.0,115.0,구로지웰아파트,16265.0,028593390,1, ,20110930.0,,148.0,,,,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 구로구 구로동 1287-,37.4906747727463,126.886837616352
1153010700,아파트,복도식,개별난방,자치관리,분양,서울 구로구 서해안로34가길 22,104.0,동인건설,서울특별시 구로구 개봉동 335-1 개봉동인아파트,2.0,동인건설,A10021547,1,0226899881,7379.51,9.0,0.0,0.0,95.0,개봉동인아파트,1004000.0,0226899881,1,없음,19891025.0,,104.0,,,,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 구로구 개봉동 335-1,37.4938718727456,126.849080707963
1153010700,도시형 생활주택(주상복합),복도식,개별난방,자치관리,분양,서울 구로구 개봉로23가길 10,149.0,주식회사 새미홀딩스,서울특별시 구로구 개봉동 493- 한양 아이클래스 구로,2.0,한양산업개발,A10021629,1, ,14375.9351,134.0,0.0,0.0,15.0,한양 아이클래스 구로,13594.0,0236662083,1, ,20180213.0,,149.0,,,,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 구로구 개봉동 493-,37.495322189037,126.856873016533
1153010200,주상복합,복도식,개별난방,위탁관리,분양,서울 구로구 가마산로27길 24,, ,서울특별시 구로구 구로동 106-10 순영1차 웰라이빌,0.0, ,A10021636,1, ,0.0,,,,,순영1차 웰라이빌,,02-859-9890,1, ,20031108.0,0.0,,,,,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 구로구 구로동 106-10,37.4981673851665,126.891568832095
1153010200,아파트,계단식,개별난방,위탁관리,분양,서울 구로구 구로중앙로8길 41-23,129.0,경남기업,서울특별시 구로구 구로동 1285- 대림역경남아너스빌,1.0,경남기업,A10021832,3,028638822,17129.14,32.0,97.0,0.0,0.0,대림역경남아너스빌,17130.0,028638822,15,없음,20090519.0,4.0,129.0,,,,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 구로구 구로동 1285-,37.4936810424271,126.892994020472
1153010600,아파트,복도식,,위탁관리,분양,서울 구로구 중앙로1길 18-18,123.0,(주)삼희산업,서울특별시 구로구 고척동 324- 고척신원프라자,4.0,신원종합건설(주),A10021933,1, ,11629.71,123.0,0.0,0.0,0.0,고척신원프라자,24390.0,0226180948,17, ,19970430.0,,123.0,,,,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 구로구 고척동 324-,37.4992309400309,126.86358074399
