bjdCode,codeAptNm,codeHallNm,codeHeatNm,codeMgrNm,codeSaleNm,address,hoCnt,kaptAcompany,kaptAddr,kaptBaseFloor,kaptBcompany,kaptCode,kaptDongCnt,kaptFax,kaptMarea,kaptMparea_135,kaptMparea_136,kaptMparea_60,kaptMparea_85,kaptName,kaptTarea,kaptTel,kaptTopFloor,kaptUrl,kaptUsedate,kaptdEcntp,kaptdaCnt,ktownFlrNo,privArea,zipcode,전기사용금액,가스사용금액,난방사용금액,전기사용량,가스사용량,난방사용량,냉수사용량,온수사용량,냉수사용금액,온수사용금액,집계날짜,cleaned_address,lat,lon
1154510200,아파트,혼합식,개별난방,위탁관리,분양,서울 금천구 남부순환로120길 22,124.0,대한연립재건축주택조합,서울특별시 금천구 독산동 956- 독산동삼익아파트,2.0,삼익건설(주),A10020894,1, ,11588.72,68.0,0.0,0.0,56.0,독산동삼익아파트,16672.56,028529560,1, ,19980902.0,1.0,124.0,,,,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 금천구 독산동 956-,37.4783056912353,126.900720886861
1154510200,,계단식,개별난방,위탁관리,분양,서울 금천구 두산로11길 22,136.0,대흥 재건축 주택조합,서울특별시 금천구 독산동 1139- 청광플러스원아파트,1.0,청광건설,A10022155,1,028641534,13111.01,106.0,0.0,0.0,30.0,청광플러스원아파트,16503.606,028515344,16, ,20030722.0,,136.0,,,,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 금천구 독산동 1139-,37.4714312820159,126.894106244993
1154510300,,계단식,개별난방,위탁관리,분양,서울 금천구 시흥대로36길 45,222.0,중앙건설,서울특별시 금천구 시흥동 1005- 시흥 중앙하이츠빌라,0.0,중앙건설,A10022481,12,028067773,16669.89,42.0,0.0,0.0,180.0,시흥 중앙하이츠빌라,50656.0,028047773,0, ,19881124.0,,222.0,,,,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 금천구 시흥동 1005-,37.4449136209404,126.906872807132
1154510300,아파트,계단식,개별난방,자치관리,분양,서울특별시 금천구 탑골로2길 24,87.0,금광건업,서울특별시 금천구 시흥동 1014- 금광포란재아파트,1.0,금광건업,A10022788,1,028969738,6718.6622,0.0,0.0,16.0,81.0,금광포란재아파트,,028961332,11, ,20040201.0,0.0,97.0,11.0,7408.3402,8657.0,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 금천구 시흥동 1014-,37.4510322833601,126.911522152224
1154510100,아파트,복도식,개별난방,위탁관리,임대,서울특별시 금천구 디지털로10길 55,282.0,LH서울지역본부,서울특별시 금천구 가산동 219-25 LH서울금천 행복주택아파트,2.0,동일토건,A10023288,2,028665670,17616.147,0.0,0.0,282.0,0.0,LH서울금천 행복주택아파트,17616.2,028665670,18, ,20230630.0,5.0,282.0,18.0,6365.3,8516.0,8695710,0,0,30324,0,0,1688,0,2200780,0,202401,서울특별시 금천구 가산동 219-25,37.4760135849005,126.890198871817
1154510100,아파트,복도식,개별난방,위탁관리,임대,서울특별시 금천구 가산디지털1로 222,299.0,한국후지필름(주),서울특별시 금천구 가산동 775- 어바니엘가산,2.0,(주)케이씨씨건설,A10023956,1, ,25016.91,0.0,0.0,299.0,0.0,어바니엘가산,25483.76,028632802,18, ,20171201.0,4.0,299.0,18.0,6320.85,8502.0,24563428,350200,0,43522,2060,0,1860,0,3157630,0,202401,서울특별시 금천구 가산동 775-,37.4850133257876,126.880111548311
1154510200,,혼합식,개별난방,위탁관리,분양,서울 금천구 범안로 1158,90.0,태영건설,서울특별시 금천구 독산동 1003-21 독산동태영아파트,3.0,태영건설,A10024179,1,028940042,10132.38,18.0,0.0,36.0,36.0,독산동태영아파트,16216.17,028940042,19, ,20010427.0,0.0,90.0,19.0,7141.5,,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 금천구 독산동 1003-21,37.4662831209543,126.890484397234
1154510200,아파트,계단식,개별난방+기타,위탁관리,임대,서울특별시 금천구 벚꽃로 100,927.0,롯데알미늄,서울특별시 금천구 독산동 1160- 독산역 롯데캐슬아파트,3.0,롯데건설,A10024302,8,028038577,88857.27,0.0,0.0,610.0,317.0,독산역 롯데캐슬아파트,136510.64,028038576,35, ,20210429.0,24.0,927.0,35.0,63375.1247,8606.0,73558546,0,0,262805,0,4830,14449,0,17531250,0,202401,서울특별시 금천구 독산동 1160-,37.4641706487518,126.891110756716
1154510200,아파트,계단식,개별난방,위탁관리,분양,서울특별시 금천구 범안로 1212,432.0,국제자산신탁(주),서울특별시 금천구 독산동 1007-13 e편한세상독산더타워아파트,6.0,대림산업,A10025116,2,028070307,41029.3438,0.0,0.0,280.0,152.0,e편한세상독산더타워아파트,59622.7831,028024041,39, ,20191128.0,13.0,432.0,39.0,28705.598,8603.0,36918780,0,0,117640,0,0,6219,0,7028410,0,202401,서울특별시 금천구 독산동 1007-13,37.4660352420573,126.896264072547
1154510300,아파트,혼합식,개별난방,자치관리,분양,서울특별시 금천구 독산로 78-1,123.0,광명연립 재건축조합,서울특별시 금천구 시흥동 820-12 경남아파트,2.0,경남기업 주식회사,A10025447,1,028922433,8640.77,15.0,0.0,79.0,29.0,경남아파트,16680.08,028922434,15, ,19981219.0,3.0,123.0,15.0,8640.77,8572.0,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 금천구 시흥동 820-12,37.4545705127908,126.906999172916
