bjdCode,codeAptNm,codeHallNm,codeHeatNm,codeMgrNm,codeSaleNm,address,hoCnt,kaptAcompany,kaptAddr,kaptBaseFloor,kaptBcompany,kaptCode,kaptDongCnt,kaptFax,kaptMarea,kaptMparea_135,kaptMparea_136,kaptMparea_60,kaptMparea_85,kaptName,kaptTarea,kaptTel,kaptTopFloor,kaptUrl,kaptUsedate,kaptdEcntp,kaptdaCnt,ktownFlrNo,privArea,zipcode,전기사용금액,가스사용금액,난방사용금액,전기사용량,가스사용량,난방사용량,냉수사용량,온수사용량,냉수사용금액,온수사용금액,집계날짜,cleaned_address,lat,lon
1135010500,주상복합,계단식,개별난방,위탁관리,분양,서울 노원구 상계로23다길 13-8,124.0,현대,서울특별시 노원구 상계동 1318- 노원아이파크,0.0,현대,A10020986,1,029369008,20324.38,6.0,118.0,0.0,0.0,노원아이파크,30613.61,029369006,1, ,20091229.0,,124.0,,,,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 노원구 상계동 1318-,37.6598474260427,127.068904053591
1135010300,주상복합,복도식,개별난방,위탁관리,임대,서울 노원구 화랑로 419-3,100.0,유한책임회사 문화,서울특별시 노원구 공릉동 684-41 태릉입구역 이니티움,0.0,삼정건설,A10021097,1,029487771,5500.79,0.0,0.0,63.0,37.0,태릉입구역 이니티움,6618.04,029487770,1,유한책임회사 문화,20241015.0,3.0,100.0,,,,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 노원구 공릉동 684-41,37.6173556189162,127.073844271243
1135010500,아파트,계단식,개별난방,위탁관리,분양,서울 노원구 상계로1길 82-14,114.0,(주)비콘건설,서울특별시 노원구 상계동 1310- 비콘드림힐3차아파트,2.0,(주)비콘건설,A10021185,1,029309101,11081.0416,88.0,0.0,0.0,26.0,비콘드림힐3차아파트,15738.107,029331389,1,(주)비콘건설,20050530.0,,114.0,,,,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 노원구 상계동 1310-,37.6591458137172,127.061779785722
1135010200,아파트,,,,분양,서울 노원구 석계로13길 6-9,, ,서울특별시 노원구 월계동 931- 장은하이빌아파트,, ,A10021254,1, ,,,,,,장은하이빌아파트,,02-4321-0915,1, ,20020513.0,,,,,,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 노원구 월계동 931-,37.6206025829132,127.061628602036
1135010300,아파트,복도식,개별난방,위탁관리,임대,서울 노원구 공릉로51길 20,100.0,한국토지주택공사,서울특별시 노원구 공릉동 428-7 서울공릉행복주택,1.0,뉴프린스 (주),A10022152,1, ,6587.8082,22.0,0.0,52.0,26.0,서울공릉행복주택,6046.0,0232965283,1, ,20190121.0,2.0,100.0,,,,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 노원구 공릉동 428-7,37.628392704654,127.075703075721
1135010600,주상복합,계단식,개별난방,위탁관리,분양,서울 노원구 한글비석로 384,126.0,대호건설,서울특별시 노원구 중계동 591- 대호프라자,4.0,한신중계지역주택조합,A10022333,1,029523152,12846.364,126.0,0.0,0.0,0.0,대호프라자,17644.45,029523151,1, ,20000224.0,4.0,126.0,,,,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 노원구 중계동 591-,37.6598085040664,127.073239970178
1135010500,아파트,혼합식,개별난방,위탁관리,혼합,서울특별시 노원구 덕릉로 753,553.0,상계6구역주택재개발정비사업조합,서울특별시 노원구 상계동 95-3 노원롯데캐슬시그니처1단지,3.0,롯데건설(주),A10023024,4,029382006,48262.7,31.0,0.0,304.0,218.0,노원롯데캐슬시그니처1단지,74570.742,029382005,29, ,20230628.0,11.0,553.0,29.0,35725.07,1640.0,48201680,0,0,140310,0,0,5676,0,6217210,0,202401,서울특별시 노원구 상계동 95-3,37.6658515931357,127.0763205024
1135010600,아파트,계단식,,위탁관리,분양,서울특별시 노원구 덕릉로82길 13,, ,서울특별시 노원구 중계동 602- 비콘드림힐아파트,2.0,비콘드림힐건설(주),A10023027,1,029334490,,0.0,0.0,27.0,61.0,비콘드림힐아파트,,029344993,15, ,20051215.0,,88.0,15.0,6802.079,1715.0,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 노원구 중계동 602-,37.6584962197664,127.075954284292
1135010500,,계단식,개별난방,위탁관리,분양,서울특별시 노원구 덕릉로 753,610.0,상계6재정비촉진구역조합,서울특별시 노원구 상계동 95-3 노원롯데캐슬시그니처2단지,2.0,롯데건설,A10023060,6,029383006,43117.196,4.0,0.0,351.0,255.0,노원롯데캐슬시그니처2단지,89035.06,029383005,29, ,20230628.0,0.0,610.0,29.0,43116.06,1640.0,53555120,0,0,277055,6015,0,8856,0,9949200,0,202401,서울특별시 노원구 상계동 95-3,37.6658515931357,127.0763205024
1135010300,도시형 생활주택(아파트),계단식,개별난방,자치관리,분양,서울특별시 노원구 화랑로 421,164.0,제이에스산업개발,서울특별시 노원구 공릉동 683-14 한일휴니스빌,3.0,한일개발,A10023478,1,07089521006,36176.1686,0.0,0.0,164.0,0.0,한일휴니스빌,6418.113,0264821002,19, ,20130924.0,3.0,164.0,19.0,2337.7452,1861.0,4534850,0,0,16855,0,0,1664,0,2625100,0,202401,서울특별시 노원구 공릉동 683-14,37.6174995624988,127.074329424265
1135010300,아파트,복도식,개별난방,위탁관리,임대,서울특별시 노원구 동일로 1000,270.0,(주)태운산업개발,서울특별시 노원구 공릉동 617-3 청년주택 와이엔타워,2.0,(주)한양산업개발,A10023990,1,0220392696,10600.3278,0.0,0.0,270.0,0.0,청년주택 와이엔타워,11793.0,0220392695,20,yntower.apti.co.kr,20211202.0,0.0,270.0,20.0,5507.1,1849.0,8895890,0,0,55103,0,0,1547,0,1814610,0,202401,서울특별시 노원구 공릉동 617-3,37.6194889944868,127.075526293582
1135010300,아파트,계단식,개별난방,위탁관리,혼합,서울특별시 노원구 공릉로34길 86,1308.0,태릉현대아파트주택재건축정비사업조합,서울특별시 노원구 공릉동 758- 태릉해링턴플레이스,3.0,효성중공업,A10023991,15,029720105,124604.0128,0.0,0.0,441.0,867.0,태릉해링턴플레이스,191973.27,029720103,25, ,20220118.0,41.0,1308.0,25.0,94764.99,1817.0,126288422,0,0,418041,0,0,20487,0,25511560,0,202401,서울특별시 노원구 공릉동 758-,37.6257613188734,127.081597642805
1135010500,아파트,계단식,개별난방,위탁관리,분양,서울특별시 노원구 동일로239나길 31,115.0,SH공사,서울특별시 노원구 상계동 1296- 상록수아파트,2.0,영동건설,A10024434,3,029321149,8934.8,0.0,0.0,95.0,20.0,상록수아파트,12993.0,029311489,15, ,20020528.0,5.0,115.0,15.0,6641.358,1606.0,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 노원구 상계동 1296-,37.6773714294384,127.051556487898
1135010500,아파트,계단식,개별난방,위탁관리,혼합,서울특별시 노원구 노원로38길 76,1062.0,상계주공8단지 주택재건축 정비사업조합,서울특별시 노원구 상계동 680- 포레나노원 아파트,2.0,주식회사 한화건설,A10024547,13,0233924940,101785.7182,23.0,0.0,499.0,540.0,포레나노원 아파트,153921.4572,0233924938,30,forenanw.com,20201125.0,28.0,1062.0,30.0,76881.44,1677.0,108648241,0,0,427847,0,0,19552,0,22390580,0,202401,서울특별시 노원구 상계동 680-,37.6648844221816,127.061972684908
1135010200,아파트,계단식,개별난방,위탁관리,분양,서울특별시 노원구 석계로13길 35,115.0,..,서울특별시 노원구 월계동 943- 세양청마루,1.0,세양건설,A10024636,1,029142223,11822.0,0.0,0.0,0.0,115.0,세양청마루,15521.6,029142224,15, ,20051027.0,4.0,115.0,15.0,9499.543,1896.0,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 노원구 월계동 943-,37.6207245375187,127.060660791581
1135010500,아파트,계단식,개별난방,위탁관리,분양,서울특별시 노원구 수락산로 246,117.0,대창기업(주),서울특별시 노원구 상계동 1302- 상계 대창센시티,2.0,대창기업(주),A10024770,1, ,12376.26,0.0,0.0,0.0,117.0,상계 대창센시티,16640.47,0220911489,15, ,20020730.0,0.0,117.0,15.0,9921.8934,1615.0,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 노원구 상계동 1302-,37.6714625463851,127.051534150434
1135010500,,혼합식,개별난방,위탁관리(직영+위탁),분양,서울특별시 노원구 동일로231길 72,142.0,중앙건설(주),서울특별시 노원구 상계동 1068- 상계중앙하이츠아파트,1.0,중앙건설(주),A10024778,1,029376952,13272.41,0.0,0.0,71.0,71.0,상계중앙하이츠아파트,15840.26,029376951,15, ,19961012.0,3.0,142.0,15.0,10285.06,1614.0,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 노원구 상계동 1068-,37.6719904738513,127.051846228306
1135010200,아파트,계단식,개별난방,위탁관리,분양,서울특별시 노원구 화랑로 355,138.0,우남건설,서울특별시 노원구 월계동 930- 월계우남아파트,2.0,우남건설,A10024812,2,029490100,14645.94,0.0,0.0,0.0,138.0,월계우남아파트,20567.76,029498897,22, ,20011204.0,4.0,138.0,22.0,11692.74,1914.0,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 노원구 월계동 930-,37.6155733518048,127.067408524429
1135010200,아파트,혼합식,개별난방,위탁관리,혼합,서울특별시 노원구 초안산로2라길 26,859.0,인덕마을주택재건축정비사업조합,서울특별시 노원구 월계동 633-31 월계센트럴아이파크아파트,2.0,현대산업개발,A10025097,7,029980862,91139.8,0.0,0.0,296.0,563.0,월계센트럴아이파크아파트,134402.75,029980861,30,wgidipark.apter.com,20200130.0,21.0,859.0,30.0,65606.41,1879.0,81511960,505000,0,0,0,0,14358,0,16867050,0,202401,서울특별시 노원구 월계동 633-31,37.6300099286586,127.05667170993
