bjdCode,codeAptNm,codeHallNm,codeHeatNm,codeMgrNm,codeSaleNm,address,hoCnt,kaptAcompany,kaptAddr,kaptBaseFloor,kaptBcompany,kaptCode,kaptDongCnt,kaptFax,kaptMarea,kaptMparea_135,kaptMparea_136,kaptMparea_60,kaptMparea_85,kaptName,kaptTarea,kaptTel,kaptTopFloor,kaptUrl,kaptUsedate,kaptdEcntp,kaptdaCnt,ktownFlrNo,privArea,zipcode,전기사용금액,가스사용금액,난방사용금액,전기사용량,가스사용량,난방사용량,냉수사용량,온수사용량,냉수사용금액,온수사용금액,집계날짜,cleaned_address,lat,lon
1123010500,도시형 생활주택(주상복합),,,,분양,서울 동대문구 사가정로 6,, ,서울특별시 동대문구 답십리동 498-7 청계지웰에스테이트,, ,A10020851,1, ,0.0,,,,,청계지웰에스테이트,0.0,02-3394-6795,1, ,20120918.0,,,,,,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 동대문구 답십리동 498-7,37.5701769955012,127.049533732451
1123010500,도시형 생활주택(아파트),타워형,개별난방,위탁관리,분양,서울 동대문구 황물로 90,160.0,(주)동아토건,서울특별시 동대문구 답십리동 530-4 보광타워,4.0,(주)동아토건,A10020888,1,0222450084,8305.2,0.0,0.0,88.0,72.0,보광타워,13997.03,0222450085,15, ,20190405.0,1.0,160.0,,,,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 동대문구 답십리동 530-4,37.5703555036136,127.050124506884
1123011000,아파트,혼합식,개별난방,위탁관리,혼합,서울 동대문구 이문로35길 12,3069.0,이문1주택재개발정비사업조헙,서울특별시 동대문구 이문동 257-42 래미안라그란데,5.0,삼성물산(주),A10020919,39, ,277230.65,1239.0,54.0,236.0,1540.0,래미안라그란데,472465.1,0232955991,1, ,20250103.0,0.0,3069.0,,,,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 동대문구 이문동 257-42,37.599823362368,127.061241161796
1123010600,아파트,계단식,개별난방,자치관리,분양,서울 동대문구 장한로12길 35,106.0,신부종합건설,서울특별시 동대문구 장안동 563- 신부파스카 5차,1.0,신부종합건설,A10021037,1, ,11794.93,106.0,0.0,0.0,0.0,신부파스카 5차,11794.93,0222430128,1, ,20050727.0,5.0,106.0,,,,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 동대문구 장안동 563-,37.5654531222284,127.069769609841
1123010600,아파트,계단식,개별난방,위탁관리,분양,서울 동대문구 답십리로69길 99,107.0,정은건설(주),서울특별시 동대문구 장안동 327- 정은스카이빌 아파트,2.0,정은건설(주),A10021586,1, ,11083.72,89.0,15.0,0.0,3.0,정은스카이빌 아파트,14886.0,0222423270,1, ,20040616.0,0.0,107.0,,,,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 동대문구 장안동 327-,37.5769001141474,127.073867357703
1123010600,아파트,계단식,개별난방,위탁관리,분양,서울 동대문구 천호대로93길 56,123.0,삼안  금성 월성연립 재건축조합,서울특별시 동대문구 장안동 573- 장한평월드메르디앙 1차아파트,1.0,월드건설(주),A10021838,2,0222461281,13452.03,119.0,0.0,0.0,4.0,장한평월드메르디앙 1차아파트,1758420.0,0222461280,14, ,20060608.0,5.0,123.0,,,,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 동대문구 장안동 573-,37.5638502604432,127.070811803541
1123010600,아파트,계단식,개별난방,위탁관리,분양,서울 동대문구 천호대로97길 61,124.0,금성 연립주택조합,서울특별시 동대문구 장안동 575- 장안월드메르디앙2차아파트,1.0,월드,A10021855,2, ,13487.49,123.0,0.0,0.0,1.0,장안월드메르디앙2차아파트,17604.0,0222418781,14, ,20070525.0,,124.0,,,,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 동대문구 장안동 575-,37.5636587395935,127.071358988584
1123010500,,혼합식,개별난방,위탁관리,분양,서울 동대문구 답십리로38길 14,141.0,한신공영,서울특별시 동대문구 답십리동 1001- 한신휴플러스그린파크 아파트,2.0,한신공영,A10022046,3, ,14978.51,99.0,24.0,0.0,18.0,한신휴플러스그린파크 아파트,23335.0,0222433165,12, ,20100930.0,,141.0,,,,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 동대문구 답십리동 1001-,37.5740641218574,127.049620415693
1123010600,,계단식,개별난방,위탁관리,혼합,서울 동대문구 천호대로83길 71-7,116.0,일성트루엘아파트,서울특별시 동대문구 장안동 581- 일성트루엘아파트,1.0,일성건설,A10022117,2,0222160069,11165.232,82.0,0.0,0.0,34.0,일성트루엘아파트,14718.0,0222131150,13, ,20120726.0,4.0,116.0,,,,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 동대문구 장안동 581-,37.5652028001255,127.065893363254
1123010500,,계단식,개별난방,위탁관리,분양,서울 동대문구 전농로10길 80,127.0,(주)우성건설,서울특별시 동대문구 답십리동 80-2 청솔2차우성아파트,2.0,(주)우성건설,A10022258,1, ,13274.35,127.0,0.0,0.0,0.0,청솔2차우성아파트,14646.0,0222496094,17, ,20001213.0,4.0,127.0,,,,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 동대문구 답십리동 80-2,37.57549220971,127.061985581729
