bjdCode,codeAptNm,codeHallNm,codeHeatNm,codeMgrNm,codeSaleNm,address,hoCnt,kaptAcompany,kaptAddr,kaptBaseFloor,kaptBcompany,kaptCode,kaptDongCnt,kaptFax,kaptMarea,kaptMparea_135,kaptMparea_136,kaptMparea_60,kaptMparea_85,kaptName,kaptTarea,kaptTel,kaptTopFloor,kaptUrl,kaptUsedate,kaptdEcntp,kaptdaCnt,ktownFlrNo,privArea,zipcode,전기사용금액,가스사용금액,난방사용금액,전기사용량,가스사용량,난방사용량,냉수사용량,온수사용량,냉수사용금액,온수사용금액,집계날짜,cleaned_address,lat,lon
1159010900,아파트,혼합식,개별난방,자치관리,분양,서울 동작구 여의대방로22길 24,132.0,벽산건설,서울특별시 동작구 신대방동 709- 신대방벽산아파트,2.0,벽산건설,A10021100,2, ,11846.992,48.0,0.0,0.0,84.0,신대방벽산아파트,16796.37,028225245,17, ,19971212.0,,132.0,,,,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 동작구 신대방동 709-,37.4974499466477,126.921572759176
1159010200,아파트,혼합식,개별난방,자치관리(직영),분양,서울 동작구 양녕로26길 11,130.0,건영건설,서울특별시 동작구 상도동 211-1 건영약수맨션,0.0,건영건설,A10021490,3, ,15953.24,130.0,0.0,0.0,0.0,건영약수맨션,17664.46,028232975,1, ,19800331.0,,130.0,,,,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 동작구 상도동 211-1,37.4987504141982,126.944358687065
1159010700,아파트,혼합식,,자치관리,분양,서울 동작구 동작대로35아길 14,113.0,사당동재건축조합,서울특별시 동작구 사당동 1140- 사당삼성아파트,1.0,삼성준공업,A10021807,1,025954407,11368.29,54.0,10.0,0.0,49.0,사당삼성아파트,,025954406,12, ,19991231.0,0.0,113.0,,,,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 동작구 사당동 1140-,37.4931041260997,126.979958177822
1159010800,,복도식,개별난방,위탁관리,임대,서울 동작구 상도로 36,110.0,이영희,서울특별시 동작구 대방동 403-16 골든노블레스,2.0,크라운종합건설,A10022093,1,07076090102,4055.84,0.0,0.0,98.0,12.0,골든노블레스,5142.0,07076090100,14,db40314.kr,20231124.0,,110.0,,,,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 동작구 대방동 403-16,37.4996090735161,126.924548360735
1159010700,아파트,계단식,,위탁관리,분양,서울 동작구 사당로20나길 57,111.0,아주연립,서울특별시 동작구 사당동 1153- 사당kcc아파트,1.0,주)kcc건설,A10022181,2,025840585,12.0,88.0,23.0,0.0,0.0,사당kcc아파트,16.0,025840584,12,없음,20070720.0,5.0,111.0,,,,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 동작구 사당동 1153-,37.4815737433268,126.973940940966
1159010900,아파트,계단식,,자치관리,분양,서울 동작구 신대방1나길 45,135.0,현진건설,서울특별시 동작구 신대방동 716- 현진에버빌아파트,1.0,현진건설,A10022217,1,028340134,9.0,0.0,0.0,59.0,76.0,현진에버빌아파트,16.0,028340133,19, ,20031024.0,,135.0,,,,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 동작구 신대방동 716-,37.4858802112997,126.907048455296
1159010700,,혼합식,개별난방,위탁관리,분양,서울 동작구 사당로20길 119,140.0,르메이에르,서울특별시 동작구 사당동 1141- 르메이에르,2.0,르메이에르,A10022230,1,025831066,13441.38,77.0,0.0,0.0,63.0,르메이에르,,025831065,0, ,20011207.0,,140.0,,,,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 동작구 사당동 1141-,37.478434104796,126.973615974527
1159010800,아파트,계단식,개별난방,위탁관리,분양,서울 동작구 알마타길 53,100.0,대림산업,서울특별시 동작구 대방동 507- 대방2차e편한세상아파트,2.0,대림산업,A10022384,1,028134255,16032.0,0.0,100.0,0.0,0.0,대방2차e편한세상아파트,21197.0,028134265,18, ,20030627.0,4.0,100.0,,,,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 동작구 대방동 507-,37.5120403321993,126.931346406277
1159010100,아파트,복도식,개별난방,위탁관리,임대,서울 동작구 장승배기로 174,299.0,코레이트노량진역청년주택전문투자형사모부동산투자 유한회사,서울특별시 동작구 노량진동 54-4 더써밋타워,2.0,강남건영(주),A10022416,1, ,12120.29,0.0,0.0,291.0,8.0,더써밋타워,13907.0,0226639656,27, ,20240329.0,2.0,299.0,,,,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 동작구 노량진동 54-4,37.5130276783933,126.940710722146
1159010200,아파트,계단식,,위탁관리,분양,서울 동작구 국사봉길 175,118.0,..,서울특별시 동작구 상도동 459- 상도2차갑을명가아파트,0.0,..,A10022456,1, ,12319.04,104.0,0.0,0.0,14.0,상도2차갑을명가아파트,18172.0,028111705,1, ,20060922.0,,118.0,,,,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 동작구 상도동 459-,37.4934714995122,126.935321085018
