bjdCode,codeAptNm,codeHallNm,codeHeatNm,codeMgrNm,codeSaleNm,address,hoCnt,kaptAcompany,kaptAddr,kaptBaseFloor,kaptBcompany,kaptCode,kaptDongCnt,kaptFax,kaptMarea,kaptMparea_135,kaptMparea_136,kaptMparea_60,kaptMparea_85,kaptName,kaptTarea,kaptTel,kaptTopFloor,kaptUrl,kaptUsedate,kaptdEcntp,kaptdaCnt,ktownFlrNo,privArea,zipcode,전기사용금액,가스사용금액,난방사용금액,전기사용량,가스사용량,난방사용량,냉수사용량,온수사용량,냉수사용금액,온수사용금액,집계날짜,cleaned_address,lat,lon
1144010500,아파트,계단식,지역난방,위탁관리,분양,서울 마포구 토정로32길 6,141.0,대요아파트재건축조함,서울특별시 마포구 용강동 501- 마포대림2차e-편한세상아파트,1.0,대림건설,A10021282,1,027023152,12400.08,36.0,0.0,31.0,74.0,마포대림2차e-편한세상아파트,20321.0,027023153,20, ,20040608.0,3.0,141.0,,,,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 마포구 용강동 501-,37.5409223585767,126.940755626564
1144010800,아파트,혼합식,개별난방,자치관리,분양,서울 마포구 독막로 288,126.0,세양건설,서울특별시 마포구 대흥동 802- 대흥동 세양아파트,3.0,세양건설,A10021649,1, ,13878.04,75.0,17.0,0.0,34.0,대흥동 세양아파트,14524.0,027156928,1, ,20000318.0,,126.0,,,,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 마포구 대흥동 802-,37.5445556054461,126.944969203076
1144012500,,계단식,개별난방,위탁관리,분양,서울 마포구 모래내로3길 2,127.0,(주)동성건설,서울특별시 마포구 성산동 597- 성산동성아파트,0.0,(주)동성 건설,A10022213,1, ,12640.02,86.0,0.0,0.0,41.0,성산동성아파트,17627.0,023724660,0, ,19990831.0,4.0,127.0,,,,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 마포구 성산동 597-,37.5646458346416,126.905725991837
1144010500,,계단식,지역난방,위탁관리,분양,서울 마포구 마포대로1길 21,123.0,대림산업,서울특별시 마포구 용강동 500- 마포대림1차,1.0,대림산업,A10022303,3, ,20295.0,0.0,123.0,0.0,0.0,마포대림1차,20295.0,027025691,22, ,20021025.0,,123.0,,,,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 마포구 용강동 500-,37.5398617976593,126.942222434291
1144012300,,복도식,개별난방,위탁관리,분양,서울 마포구 월드컵로29길 68,105.0,모름,서울특별시 마포구 망원동 433-9 망원미원2차아파트,1.0,(주)미원건설,A10022359,1, ,9297.67,47.0,0.0,2.0,56.0,망원미원2차아파트,11979.0,023241720,10,없슴,19970430.0,,105.0,,,,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 마포구 망원동 433-9,37.5589063136463,126.902297801902
1144012600,,혼합식,개별난방,위탁관리,분양,서울 마포구 성암로5길 12,102.0,중동한우연립재건축사업조합,서울특별시 마포구 중동 395- 중동 동원월드타운아파트,2.0,(주)동원주택건설,A10022429,2,023050579,11329.0,45.0,26.0,0.0,31.0,중동 동원월드타운아파트,16518.0,023050509,16, ,20040922.0,,102.0,,,,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 마포구 중동 395-,37.5702222818858,126.909533657773
1144010100,,타워형,개별난방,위탁관리,분양,서울 마포구 마포대로 201,120.0,삼성물산,서울특별시 마포구 아현동 738- 마포트라팰리스2,4.0,삼성물산,A10022480,2,023930134,25800.0,0.0,120.0,0.0,0.0,마포트라팰리스2,25895.0,023930132,22, ,20080718.0,,120.0,,,,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 마포구 아현동 738-,37.5522161008194,126.95550374204
1144010100,,혼합식,개별난방,위탁관리,혼합,서울특별시 마포구 마포대로 231,239.0,(주)테라윈미래아현PFV,서울특별시 마포구 아현동 275-2 마포푸르지오더센트럴,6.0,대우건설,A10022941,1,023629665,13102.72,0.0,0.0,239.0,0.0,마포푸르지오더센트럴,27327.0,023629664,18, ,20231031.0,6.0,239.0,18.0,9394.69,4117.0,12683350,0,0,29846,0,0,1319,0,1677300,0,202401,서울특별시 마포구 아현동 275-2,37.5544939950533,126.956447146807
1144011000,아파트,복도식,개별난방+기타,위탁관리,임대,서울특별시 마포구 서강로 121,151.0,이지스개발투자회사,서울특별시 마포구 노고산동 56-74 맹그로브신촌,6.0,(주)한신공영,A10022963,1, ,3242.04,0.0,0.0,151.0,0.0,맹그로브신촌,13520.0,023389047,13, ,20230106.0,3.0,151.0,13.0,3242.04,4057.0,4977831,0,7763750,15178,0,7864,899,431,1010080,422440,202401,서울특별시 마포구 노고산동 56-74,37.5539463245275,126.934014355442
1144010200,아파트,복도식,개별난방,위탁관리,임대,서울특별시 마포구 백범로31길 19,350.0,서울시,서울특별시 마포구 공덕동 370-4 공덕동 크로시티 행복주택,2.0,대우조선해양,A10023118,2, ,12473.7,0.0,0.0,350.0,0.0,공덕동 크로시티 행복주택,23018.06,0232752305,20, ,20230710.0,4.0,350.0,20.0,7150.24,4147.0,11892800,0,0,41014,547,0,1783,0,1919080,0,202401,서울특별시 마포구 공덕동 370-4,37.5462767640651,126.949144880615
1144010100,아파트,혼합식,개별난방,위탁관리,혼합,서울특별시 마포구 신촌로28길 8,1419.0,아현2구역주택재건축정비사업조합,서울특별시 마포구 아현동 804- 마포더클래시,4.0,"HDC현대산업개발(주), SK에코플랜트",A10023508,17,023136662,123193.18,0.0,0.0,1027.0,392.0,마포더클래시,209770.23,023136661,25, ,20221129.0,42.0,1419.0,25.0,90160.42,4113.0,103368696,0,0,399358,5729,0,18540,0,20475830,0,202401,서울특별시 마포구 아현동 804-,37.5561679924783,126.948890081163
1144012300,아파트,계단식,개별난방,위탁관리,분양,서울 마포구 월드컵로31길 77,119.0,은행장미재건축조합,서울특별시 마포구 망원동 498- 우림 루미아트,1.0,우림건설,A10023665,1,023379872,11136.43,0.0,0.0,52.0,67.0,우림 루미아트,14264.0,023379872,15, ,20030321.0,5.0,119.0,15.0,8785.9226,,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 마포구 망원동 498-,37.5597471018167,126.901081152787
1144012300,도시형 생활주택(아파트),혼합식,개별난방,위탁관리,분양,서울 마포구 방울내로 37,149.0,망원동 438재건축주택조합,서울특별시 마포구 망원동 522- 마포한강 J-SKY아파트,1.0,제이앤이건설(주),A10023755,2, ,9326.91,0.0,0.0,149.0,0.0,마포한강 J-SKY아파트,9435.885,0231447201,12, ,20190910.0,5.0,149.0,12.0,6679.909,,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 마포구 망원동 522-,37.5589972238342,126.899189230648
1144012300,아파트,혼합식,개별난방,위탁관리,분양,서울 마포구 망원로4길 8,134.0,청와연립재건축조합,서울특별시 마포구 망원동 489- 망원성원2차아파트,0.0,성원건설,A10024150,1,023326479,13210.06,30.0,0.0,74.0,30.0,망원성원2차아파트,18354.28,023326479,15, ,19991229.0,3.0,134.0,15.0,10388.82,,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 마포구 망원동 489-,37.556301773818,126.90161321405
1144010300,,타워형,개별난방,위탁관리,분양,서울특별시 마포구 백범로 202,122.0,KCC건설,서울특별시 마포구 신공덕동 171- 마포KCC웰츠타워,5.0,KCC건설,A10024334,2,027011587,26407.48,122.0,0.0,0.0,0.0,마포KCC웰츠타워,37138.42,027011588,31, ,20110526.0,0.0,122.0,31.0,13900.0,4196.0,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 마포구 신공덕동 171-,37.5428481347733,126.952468627776
1144010900,아파트,계단식,개별난방,위탁관리,혼합,서울특별시 마포구 대흥로24길 24,1694.0,염리3구역주택재개발정비사업조합,서울특별시 마포구 염리동 507- 마포프레스티지자이아파트,5.0,GS건설,A10024347,18,0269535997,156603.1699,101.0,0.0,973.0,620.0,마포프레스티지자이아파트,256341.313,0269535996,27,mapop.aptner.com,20211230.0,52.0,1694.0,27.0,117649.87,4124.0,145662247,0,0,508655,0,0,24305,0,30371020,0,202401,서울특별시 마포구 염리동 507-,37.5539607082089,126.947610265434
1144010200,아파트,계단식,개별난방,위탁관리,혼합,서울특별시 마포구 백범로31길 7,306.0,마포로6 도시환경정비조합,서울특별시 마포구 공덕동 479- 공덕SK리더스뷰 1단지,4.0,sk건설,A10024408,3,027113851,36304.93,78.0,0.0,0.0,228.0,공덕SK리더스뷰 1단지,53469.09,027113850,28, ,20211118.0,9.0,306.0,28.0,27454.7,4147.0,32182419,0,0,110921,0,0,5181,0,6158980,0,202401,서울특별시 마포구 공덕동 479-,37.5452545904697,126.948750766953
1144011400,아파트,복도식,개별난방,위탁관리,임대,서울특별시 마포구 서강로 75-16,589.0,(주)이베데스다 제일호 위탁관리부동산 투자회사,서울특별시 마포구 창전동 19-8 이랜드PEER 신촌 청년주택,5.0,이랜드건설(주),A10024425,2,023257779,31596.4577,0.0,0.0,589.0,0.0,이랜드PEER 신촌 청년주택,35390.17,023257778,16,www.elandpeer.com,20210111.0,8.0,589.0,16.0,11581.71,4065.0,24461408,0,0,107565,0,0,4140,0,5098780,0,202401,서울특별시 마포구 창전동 19-8,37.5496213115505,126.931255709052
1144012400,아파트,혼합식,개별난방,자치관리,분양,서울특별시 마포구 동교로39길 11,128.0,대명건설,서울특별시 마포구 연남동 259-1 대명비발디아파트,2.0,대명건설,A10024587,1,023227022,12404.0,13.0,0.0,76.0,39.0,대명비발디아파트,15242.0,023227010,17, ,19951115.0,,128.0,17.0,9271.15,3984.0,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 마포구 연남동 259-1,37.5617024149606,126.923614957999
1144010900,,혼합식,개별난방,위탁관리,분양,서울특별시 마포구 독막로42길 5,88.0,세양건설,서울특별시 마포구 염리동 522- 염리동세양청마루아파트,1.0,세양건설,A10024597,1,027110594,8359.92,0.0,0.0,30.0,58.0,염리동세양청마루아파트,10364.0,027110593,15, ,20050530.0,3.0,88.0,15.0,6374.36,4155.0,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 마포구 염리동 522-,37.543021102042,126.946512967104
1144010200,아파트,복도식,,위탁관리,혼합,서울특별시 마포구 백범로31길 8,166.0,마포로6 도시환경정비사업조합,서울특별시 마포구 공덕동 480- 공덕SK리더스뷰 2단지,5.0,SK건설,A10024626,2,027183851,12886.57,9.0,0.0,130.0,27.0,공덕SK리더스뷰 2단지,34709.77,027183850,29, ,20211118.0,0.0,166.0,29.0,8731.47,4147.0,12478438,143170,0,37379,1105,0,1435,0,2319410,0,202401,서울특별시 마포구 공덕동 480-,37.5449942729365,126.949333367033
1144012000,아파트,계단식,,위탁관리,분양,서울특별시 마포구 홍익로 10,136.0,서교아파트 재건축조합,서울특별시 마포구 서교동 486- 서교푸르지오아파트,3.0,대우건설,A10024784,1, ,15640.0,136.0,0.0,0.0,0.0,서교푸르지오아파트,28825.0,0231415588,19, ,20041126.0,7.0,136.0,19.0,12574.9,4055.0,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 마포구 서교동 486-,37.5537619785992,126.923693794834
1144012000,아파트,복도식,개별난방,위탁관리,임대,서울특별시 마포구 양화로 72,1121.0,SH/멀티에셋,서울특별시 마포구 서교동 494- 서교동 효성해링턴타워,5.0,효성중공업,A10024891,1,023352204,60482.6,0.0,0.0,913.0,0.0,서교동 효성해링턴타워,60483.0,023352203,24, ,20200423.0,8.0,913.0,24.0,27202.21,4044.0,36133579,0,0,143606,0,0,6644,0,7955010,0,202401,서울특별시 마포구 서교동 494-,37.5508138163956,126.916493990351
1144011100,아파트,혼합식,지역난방,위탁관리,혼합,서울특별시 마포구 광성로 17,1015.0,신수1주택재건축정비사업조합,서울특별시 마포구 신수동 93-102 신촌숲 아이파크 아파트,3.0,현대산업개발,A10024974,7,0232752339,108818.863,88.0,6.0,376.0,545.0,신촌숲 아이파크 아파트,167122.127,0232752337,35,https://신촌숲아이파크.apti.co.kr/aptHome/,20190829.0,24.0,1015.0,35.0,79270.86,4094.0,89737914,0,80234460,328222,0,708,16019,6674,19444380,55452850,202401,서울특별시 마포구 신수동 93-102,37.5503208717883,126.935286024774
1144010800,아파트,혼합식,개별난방,위탁관리,혼합,서울특별시 마포구 대흥로 175,1248.0,대흥2구역 주택재개발정비사업조합,서울특별시 마포구 대흥동 806- 마포그랑자이아파트,3.0,GS건설,A10025003,18,0232751906,118785.78,30.0,0.0,635.0,583.0,마포그랑자이아파트,177072.9,0232751905,23, ,20200221.0,43.0,1248.0,23.0,87304.82,4105.0,114858465,0,0,378890,0,0,16953,0,18418290,0,202401,서울특별시 마포구 대흥동 806-,37.5557712803285,126.943354906623
1144011400,아파트,타워형,,위탁관리,혼합,서울특별시 마포구 서강로3길 32,276.0,창전1구역 주택재건축정비사업조합,서울특별시 마포구 창전동 449- 마포 웨스트리버 태영데시앙아파트,3.0,태영건설,A10025633,4,023263301,29437.434,17.0,1.0,38.0,220.0,마포 웨스트리버 태영데시앙아파트,43400.0,023263300,21, ,20190524.0,4.0,276.0,21.0,22306.779,4065.0,24021940,0,0,92677,0,0,3882,0,4649950,0,202401,서울특별시 마포구 창전동 449-,37.5500177865994,126.930854061378
1144010700,아파트,혼합식,,위탁관리,분양,서울특별시 마포구 마포대로4길 90,133.0,(주) 보성,서울특별시 마포구 마포동 442- 마포 보성 아파트,2.0,(주) 보성,A10025672,2,0232740223,12579.5644,15.0,0.0,81.0,37.0,마포 보성 아파트,30549.0,0232740223,15, ,19961128.0,3.0,133.0,15.0,9670.7,4178.0,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 마포구 마포동 442-,37.535962741687,126.946476371806
1144010900,아파트,혼합식,개별난방,위탁관리,혼합,서울특별시 마포구 숭문길 98,927.0,염리2구역 주택재개발정비사업 조합,서울특별시 마포구 염리동 45- 마포자이 더 센트리지 아파트,4.0,GS건설,A10026036,12,0232752128,88378.777,12.0,0.0,466.0,449.0,마포자이 더 센트리지 아파트,148606.0,0232752126,25, ,20180928.0,33.0,927.0,25.0,64520.55,4127.0,79019511,407010,0,265807,9850,0,14698,0,16906670,0,202401,서울특별시 마포구 염리동 45-,37.5502789649035,126.946615741024
1144012300,아파트,계단식,개별난방,위탁관리,분양,서울특별시 마포구 희우정로 77,385.0,망원1주택재건축정비사업조합,서울특별시 마포구 망원동 458-16 마포한강 아이파크,2.0,HDC현대산업개발,A10026053,6,023227514,40981.697,81.0,0.0,114.0,190.0,마포한강 아이파크,64221.51,023227510,18,https://마포한강아이파크.apti.co.kr,20190805.0,0.0,385.0,18.0,31845.35,4016.0,41043700,0,0,125993,0,0,5901,0,6951140,0,202401,서울특별시 마포구 망원동 458-16,37.5531729682225,126.902698099648
1144010100,아파트,계단식,개별난방,위탁관리,혼합,서울특별시 마포구 마포대로 246,497.0,아현1-3구역 재개발정비사업조합,서울특별시 마포구 아현동 802- 마포센트럴아이파크,4.0,현대산업개발,A10027090,6,023920228,51206.0,86.0,0.0,206.0,205.0,마포센트럴아이파크,78227.0319,023920226,29,ahyeonipark.com/,20171116.0,0.0,497.0,29.0,38231.36,4201.0,52722455,0,0,150083,0,0,7347,0,8810610,0,202401,서울특별시 마포구 아현동 802-,37.5553374570465,126.958555525058
