bjdCode,codeAptNm,codeHallNm,codeHeatNm,codeMgrNm,codeSaleNm,address,hoCnt,kaptAcompany,kaptAddr,kaptBaseFloor,kaptBcompany,kaptCode,kaptDongCnt,kaptFax,kaptMarea,kaptMparea_135,kaptMparea_136,kaptMparea_60,kaptMparea_85,kaptName,kaptTarea,kaptTel,kaptTopFloor,kaptUrl,kaptUsedate,kaptdEcntp,kaptdaCnt,ktownFlrNo,privArea,zipcode,전기사용금액,가스사용금액,난방사용금액,전기사용량,가스사용량,난방사용량,냉수사용량,온수사용량,냉수사용금액,온수사용금액,집계날짜,cleaned_address,lat,lon
1165010600,아파트,혼합식,개별난방,위탁관리,분양,서울 서초구 신반포로 261,, ,서울특별시 서초구 잠원동 59-3 잠원현대훼밀리아파트,0.0,현대건설,A10020999,1, ,0.0,,,,,잠원현대훼밀리아파트,13916.72,025952818,1, ,19970827.0,,,,,,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 서초구 잠원동 59-3,37.5087788699122,127.012637661592
1165010600,아파트,,,,혼합,서울 서초구 잠원로8길 35,, ,서울특별시 서초구 잠원동 158- 래미안신반포팰리스,, ,A10021005,1, ,0.0,,,,,래미안신반포팰리스,0.0,025321016,1, ,20160607.0,,,,,,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 서초구 잠원동 158-,37.5150996956316,127.011661662443
1165010800,도시형 생활주택(주상복합),타워형,중앙난방,자치관리,분양,서울 서초구 효령로77길 20,122.0,현대건설,서울특별시 서초구 서초동 1338- 현대ESA아파트,3.0,현대건설,A10021305,1, ,23165.18,4.0,118.0,0.0,0.0,현대ESA아파트,,025823630,18, ,20020107.0,,122.0,,,,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 서초구 서초동 1338-,37.4908753967204,127.029487018686
1165010100,아파트,계단식,개별난방,위탁관리,분양,서울 서초구 동광로3길 18,138.0,현대개발,서울특별시 서초구 방배동 3277- 방배아이파크아파트,2.0,현대I'PARK,A10021518,2, ,35073.24,0.0,138.0,0.0,0.0,방배아이파크아파트,2932690.0,025320127,15, ,20060605.0,7.0,138.0,,,,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 서초구 방배동 3277-,37.4915062575633,126.984617934843
1165010600,아파트,계단식,개별난방,위탁관리,분양,서울 서초구 잠원로 85,125.0,청구2차주택조합,서울특별시 서초구 잠원동 71-1 블루힐하우스,3.0,청구건설,A10021612,1,0262842757,14826.91,125.0,0.0,0.0,0.0,블루힐하우스,,025916617,19, ,19991106.0,1.0,125.0,,,,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 서초구 잠원동 71-1,37.5118200914235,127.006237310492
1165010700,아파트,,,,혼합,서울 서초구 사평대로 310-4,, ,서울특별시 서초구 반포동 1344- 반포센트레빌아스테리움,, ,A10021765,1, ,0.0,,,,,반포센트레빌아스테리움,0.0,0234762288,1, ,20210730.0,,,,,,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 서초구 반포동 1344-,37.5034570396737,127.015970121674
1165010800,아파트,계단식,개별난방,위탁관리,분양,서울 서초구 서초대로38길 12,116.0,마제스타시티피에프브이(주),서울특별시 서초구 서초동 1498-5 힐스테이트서리풀,7.0,현대엔지니어링(주),A10021789,2,0269523810,15840.89,0.0,116.0,0.0,0.0,힐스테이트서리풀,15840.89,0269523660,22, ,20170629.0,4.0,116.0,,,,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 서초구 서초동 1498-5,37.4904950346372,127.005381592272
1165010800,아파트,계단식,개별난방,위탁관리,분양,서울 서초구 서운로6길 15-13,110.0,서초맨션 재건축조합,서울특별시 서초구 서초동 1359-50 롯데캐슬주피터,2.0,롯데건설,A10021828,2,025218033,16730.07,18.0,92.0,0.0,0.0,롯데캐슬주피터,31350.0,025988033,12, ,20031129.0,,110.0,,,,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 서초구 서초동 1359-50,37.486288852851,127.030057118635
1165010100,아파트,계단식,,위탁관리,분양,서울 서초구 방배로 278,122.0,-,서울특별시 서초구 방배동 3275- 방배동부센트레빌아파트,2.0,동부건설(주),A10021884,3,025919749,21.0,0.0,122.0,0.0,0.0,방배동부센트레빌아파트,0.0,025919748,22, ,20041112.0,3.0,122.0,,,,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 서초구 방배동 3275-,37.4973445558695,126.988117641915
1165010800,아파트,복도식,지역난방,자치관리,분양,서울 서초구 서운로 122,141.0,삼성전자,서울특별시 서초구 서초동 1326- 삼성서초가든스위트아파트,4.0,삼성물산,A10022209,3,0234863919,39517.046,0.0,141.0,0.0,0.0,삼성서초가든스위트아파트,80126.0,025984090,23,삼성서초가든스위트.apti.co.kr/aptHome/,20000624.0,0.0,141.0,,,,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 서초구 서초동 1326-,37.494550443815,127.025950372638
