bjdCode,codeAptNm,codeHallNm,codeHeatNm,codeMgrNm,codeSaleNm,address,hoCnt,kaptAcompany,kaptAddr,kaptBaseFloor,kaptBcompany,kaptCode,kaptDongCnt,kaptFax,kaptMarea,kaptMparea_135,kaptMparea_136,kaptMparea_60,kaptMparea_85,kaptName,kaptTarea,kaptTel,kaptTopFloor,kaptUrl,kaptUsedate,kaptdEcntp,kaptdaCnt,ktownFlrNo,privArea,zipcode,전기사용금액,가스사용금액,난방사용금액,전기사용량,가스사용량,난방사용량,냉수사용량,온수사용량,냉수사용금액,온수사용금액,집계날짜,cleaned_address,lat,lon
1171010600,아파트,혼합식,개별난방,위탁관리,분양,서울 송파구 백제고분로22길 37,1.0,현대산업개발,서울특별시 송파구 삼전동 39- 삼전현대아파트,1.0,현대산업개발,A10021157,1,024161722,12.0,0.0,1.0,0.0,0.0,삼전현대아파트,12.0,024202822,1, ,19891122.0,3.0,1.0,,,,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 송파구 삼전동 39-,37.5005368580762,127.088174225102
1171011400,아파트,혼합식,개별난방,자치관리,분양,서울 송파구 마천로35길 12,107.0,(주)건원건설,서울특별시 송파구 마천동 21- 송파건원여미지아파트,1.0,(주)건원건설,A10021237,1,024315591,8420.579,0.0,0.0,0.0,107.0,송파건원여미지아파트,10495.0,024315591,20, ,20181008.0,3.0,107.0,,,,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 송파구 마천동 21-,37.4999101173808,127.145627777884
1171010700,아파트,복도식,개별난방,위탁관리,분양,서울 송파구 동남로9길 39,105.0,조합,서울특별시 송파구 가락동 142- 가락풍림아파트,1.0,풍림건설,A10021256,1,0262872832,10157.4,63.0,0.0,0.0,42.0,가락풍림아파트,13508.0,024072831,1, ,19951130.0,,105.0,,,,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 송파구 가락동 142-,37.4955569628157,127.126239074838
1171010700,주상복합,복도식,중앙난방,위탁관리,분양,서울 송파구 송파대로30길 16,113.0,주식회사 로쿠스,서울특별시 송파구 가락동 98- 송파가락두산위브센티움,3.0,주)두산건설,A10021390,1,0234020774,6295.7,0.0,0.0,64.0,49.0,송파가락두산위브센티움,14137.0,0234020773,1, ,20040329.0,2.0,113.0,,,,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 송파구 가락동 98-,37.4945889149409,127.119131071387
1171011300,아파트,계단식,개별난방,위탁관리,분양,서울 송파구 오금로56길 28,140.0,어울림거여동아파트관리사무소,서울특별시 송파구 거여동 593- 어울림거여동아파트,2.0,어울림거여동아파트관리사무소,A10021407,3,0260128733,17572.56,124.0,16.0,0.0,0.0,어울림거여동아파트,,024081733,1, ,20031129.0,0.0,140.0,,,,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 송파구 거여동 593-,37.4923459415164,127.143162803652
1171011200,아파트,계단식,개별난방,위탁관리,분양,서울 송파구 양재대로72길 42,110.0,오금쌍용1차입주자대표회의,서울특별시 송파구 오금동 29- 오금쌍용스윗닷홈1차,2.0,남광토건,A10021425,2, ,11788.7,110.0,0.0,0.0,0.0,오금쌍용스윗닷홈1차,17744.0,0234012821,1, ,20050913.0,5.0,110.0,,,,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 송파구 오금동 29-,37.5077973274329,127.131418574451
1171011100,아파트,계단식,개별난방,위탁관리(직영+위탁),분양,서울 송파구 위례성대로8길 28,144.0,금호산업개발,서울특별시 송파구 방이동 157- 방이금호어울림아파트,2.0,금호산업개발,A10021457,1, ,14562.96,120.0,0.0,0.0,24.0,방이금호어울림아파트,20063.0,024245338,1, ,20010516.0,0.0,144.0,,,,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 송파구 방이동 157-,37.5127315673452,127.118399698141
1171010400,아파트,계단식,개별난방,위탁관리,혼합,서울특별시 송파구 송파동 245-,102.0,송파101번지일대가로주택정비사업조합,서울특별시 송파구 송파동 245- 송파파밀리에더퍼스트아파트,0.0,신동아건설 주식회사,A10021504,3,0234318621,15028.9825,21.0,81.0,0.0,0.0,송파파밀리에더퍼스트아파트,15072.0,0234318620,1, ,20231219.0,6.0,102.0,,,,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 송파구 송파동 245-,37.5029335500384,127.114422089429
1171010300,아파트,복도식,개별난방,위탁관리,분양,서울 송파구 풍성로14길 19,132.0,현대산업개발,서울특별시 송파구 풍납동 251-2 풍납현대사원아파트,1.0,현대산업개발,A10021523,1,024846103,6972.48,0.0,0.0,132.0,0.0,풍납현대사원아파트,6972.48,024748949,1, ,19860731.0,,132.0,,,,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 송파구 풍납동 251-2,37.5326235922496,127.116436612914
1171011100,아파트,복도식,,위탁관리,분양,서울 송파구 백제고분로 497,138.0,효성건설,서울특별시 송파구 방이동 51-4 효성올림픽카운티,4.0,효성건설,A10022027,1, ,7970.04,0.0,0.0,110.0,28.0,효성올림픽카운티,13509.0,024168440,18, ,20030930.0,2.0,138.0,,,,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 송파구 방이동 51-4,37.5148889925719,127.114590891857
1171010800,,계단식,개별난방,위탁관리,분양,서울 송파구 송이로34길 26,120.0,현대,서울특별시 송파구 문정동 104- 문정현대아파트,1.0,한국주택은행과 대한팔프 조합,A10022030,1,024097635,12616.4,120.0,0.0,0.0,0.0,문정현대아파트,12617.0,024087634,10, ,19910909.0,,120.0,,,,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 송파구 문정동 104-,37.4857836881353,127.130352667149
1171011300,,복도식,개별난방,위탁관리,분양,서울 송파구 거마로9길 19,142.0,거여동 비둘기재건축 조합,서울특별시 송파구 거여동 136- 삼호아파트,2.0,삼호,A10022033,1,024069779,14630.32,76.0,0.0,0.0,66.0,삼호아파트,18028.0,024068232,19, ,19990612.0,,142.0,,,,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 송파구 거여동 136-,37.4965721621785,127.143566326949
1171011400,,혼합식,개별난방,위탁관리,분양,서울 송파구 마천로35길 18,122.0,마천아남(주),서울특별시 송파구 마천동 9- 아남아파트,1.0,마천아남(주),A10022249,1,02430,9270.42,0.0,0.0,0.0,122.0,아남아파트,13282.0,024308073,0, ,19921214.0,2.0,122.0,,,,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 송파구 마천동 9-,37.5004625158406,127.146072051276
1171010800,아파트,계단식,,위탁관리,혼합,서울 송파구 송이로31길 20,1265.0,"현대엔지니어링,디엘이엔씨",서울특별시 송파구 문정동 136- 힐스테이트 e편한세상 문정아파트,2.0,문정동136번지일원재건축정비사업조합,A10022403,14,024498587,108.0,410.0,0.0,0.0,855.0,힐스테이트 e편한세상 문정아파트,167.0,024498586,18, ,20240830.0,38.0,1265.0,,,,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 송파구 문정동 136-,37.4899816541961,127.134301058163
1171010800,,복도식,개별난방,위탁관리,임대,서울특별시 송파구 문정로 1,438.0,문정역마에스트로프로젝트금융투자주식회사,서울특별시 송파구 문정동 55-6 문정동마에스트로청년주택,0.0,효성중공업,A10022621,1,0220431118,21318.2061,0.0,0.0,438.0,0.0,문정동마에스트로청년주택,27348.0,0220431117,21, ,20240119.0,4.0,438.0,21.0,9647.3938,5806.0,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 송파구 문정동 55-6,37.486359565989,127.123087289463
1171011200,아파트,계단식,지역난방,위탁관리,분양,서울특별시 송파구 성내천로 50,328.0,아남아파트리모델링주택조합,서울특별시 송파구 오금동 67- 송파더플래티넘,3.0,주식회사쌍용,A10022649,2,024498331,36254.71,179.0,0.0,30.0,119.0,송파더플래티넘,50633.0,024498330,16, ,20240130.0,12.0,328.0,16.0,27600.63,5728.0,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 송파구 오금동 67-,37.5032965871378,127.136305641914
1171010800,,복도식,개별난방,자치관리,분양,서울특별시 송파구 송파대로16길 12,108.0,현대건설,서울특별시 송파구 문정동 58- 문정동현대2차아파트,1.0,현대건설,A10022995,1, ,12148.2,0.0,0.0,58.0,50.0,문정동현대2차아파트,12957252.0,024480734,10, ,19951107.0,1.0,108.0,10.0,7646.76,5807.0,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 송파구 문정동 58-,37.4841867132888,127.124617461138
1171010100,도시형 생활주택(아파트),복도식,개별난방,위탁관리,임대,서울특별시 송파구 백제고분로7길 42,217.0,제이제이앤주식회사,서울특별시 송파구 잠실동 187-10 잠실 센트럴파크,4.0,한일개발,A10023070,1,024126009,8153.5534,0.0,0.0,217.0,0.0,잠실 센트럴파크,14219.95,024126008,15, ,20230802.0,3.0,217.0,15.0,5805.5371,5559.0,10544550,0,0,16904,0,0,1385,0,2019590,0,202401,서울특별시 송파구 잠실동 187-10,37.5105455244799,127.083543016569
1171010200,주상복합,계단식,개별난방,위탁관리,분양,서울특별시 송파구 올림픽로 293-19,55.0,모름,서울특별시 송파구 신천동 7-28 현대타워아파트,7.0,현대건설,A10023169,1,024190467,13345.95,15.0,40.0,0.0,0.0,현대타워아파트,30818.14,024193722,30, ,19961230.0,1.0,55.0,30.0,8628.1,5510.0,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 송파구 신천동 7-28,37.5151260924891,127.102480310867
1171010900,,계단식,개별난방,위탁관리,분양,서울특별시 송파구 송파대로8길 42,149.0,현대해상화재보험,서울특별시 송파구 장지동 855- 송파파인타운12단지,1.0,양우건설,A10023296,4,024001895,16797.39,0.0,0.0,0.0,149.0,송파파인타운12단지,22882.35,024001894,20, ,20110127.0,6.0,149.0,20.0,12640.96,5813.0,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 송파구 장지동 855-,37.478757803696,127.132139433365
