bjdCode,codeAptNm,codeHallNm,codeHeatNm,codeMgrNm,codeSaleNm,address,hoCnt,kaptAcompany,kaptAddr,kaptBaseFloor,kaptBcompany,kaptCode,kaptDongCnt,kaptFax,kaptMarea,kaptMparea_135,kaptMparea_136,kaptMparea_60,kaptMparea_85,kaptName,kaptTarea,kaptTel,kaptTopFloor,kaptUrl,kaptUsedate,kaptdEcntp,kaptdaCnt,ktownFlrNo,privArea,zipcode,전기사용금액,가스사용금액,난방사용금액,전기사용량,가스사용량,난방사용량,냉수사용량,온수사용량,냉수사용금액,온수사용금액,집계날짜,cleaned_address,lat,lon
1117012500,주상복합,복도식,개별난방,위탁관리,분양,서울 용산구 한강대로 109,110.0,프리즘산업개발,서울특별시 용산구 한강로2가 2-11 한강로대우아이빌,0.0,대우건설,A10021269,1,027951793,6354.542,0.0,0.0,74.0,36.0,한강로대우아이빌,20923.0,027951792,15, ,20040922.0,2.0,110.0,,,,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 용산구 한강로2,37.5300046920783,126.968166439864
1117013100,아파트,복도식,개별난방,자치관리(직영),분양,서울 용산구 독서당로 73-4,125.0,불명,서울특별시 용산구 한남동 29-4 한성아파트,1.0,불명,A10021339,2,027977362,6450.0,0.0,0.0,125.0,0.0,한성아파트,6889.0,027977361,6, ,19740808.0,1.0,125.0,,,,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 용산구 한남동 29-4,37.5346122886722,127.009211897616
1117013100,주상복합,복도식,개별난방,자치관리,분양,서울 용산구 독서당로 22,129.0,이우식외131인,서울특별시 용산구 한남동 522-1 동원베네스트,4.0,동원시스템즈,A10021637,1,027960227,12645.6,107.0,0.0,0.0,22.0,동원베네스트,21810.39,027960226,13, ,20100302.0,2.0,129.0,,,,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 용산구 한남동 522-1,37.5301631563664,127.007801799645
1117013300,아파트,혼합식,,위탁관리,분양,서울 용산구 서빙고로51길 64,123.0,서빙고재건축주택조합,서울특별시 용산구 서빙고동 293- 서빙고 그린파크 아파트,2.0,코오롱건설,A10022221,1,027492913,18.0,45.0,78.0,0.0,0.0,서빙고 그린파크 아파트,19.0,027492933,1, ,20000331.0,0.0,123.0,,,,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 용산구 서빙고동 293-,37.5227430862454,126.991506654552
1117013100,,계단식,개별난방,위탁관리,분양,서울 용산구 서빙고로 413,122.0,현대건설,서울특별시 용산구 한남동 805- 한남동현대하이페리온아파트,3.0,현대건설,A10022228,2, ,30128.86,0.0,122.0,0.0,0.0,한남동현대하이페리온아파트,,027975989,17, ,20021227.0,,122.0,,,,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 용산구 한남동 805-,37.5272954501599,127.004219892518
1117012800,아파트,타워형,,위탁관리,임대,서울특별시 용산구 한강로3,162.0,한신공영,서울특별시 용산구 한강로3가 100- 에피소드용산241,6.0,한신공영,A10022504,1,0262722252,12995.8541,0.0,0.0,162.0,0.0,에피소드용산241,18230.0,0262722250,20, ,20240226.0,,162.0,,,,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 용산구 한강로3,37.5376077659829,126.974370079468
1117012900,,계단식,개별난방,자치관리,분양,서울특별시 용산구 이촌로14길 7,103.0,동원시스템즈,서울특별시 용산구 이촌동 434- 동원베네스트 아파트,2.0,동원시스템즈,A10022800,2,027017839,8749.541,0.0,0.0,0.0,103.0,동원베네스트 아파트,14804855.0,027017838,14, ,20051118.0,3.0,103.0,14.0,8752.141,4374.0,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 용산구 이촌동 434-,37.5270731316613,126.954965585803
1117012500,아파트,계단식,개별난방,위탁관리,분양,서울특별시 용산구 한강대로53길 16,146.0,랜드마크 앤드 파트너,서울특별시 용산구 한강로2가 417- 용산파크 이편한세상,2.0,(주) 삼호,A10023195,2, ,16968.38,54.0,0.0,0.0,92.0,용산파크 이편한세상,23031.0,027495528,28, ,20070613.0,3.0,146.0,28.0,13908.38,4375.0,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 용산구 한강로2,37.5342236014392,126.970847000039
1117012900,아파트,,,,분양,서울특별시 용산구 이촌로 156,, ,서울특별시 용산구 이촌동 302-86 빌라맨션아파트,, ,A10023360,1, ,,0.0,68.0,2.0,0.0,빌라맨션아파트,,027944735,1, ,19740404.0,0.0,70.0,18.0,13784.38,4427.0,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 용산구 이촌동 302-86,37.5215258311472,126.964147760101
1117013100,아파트,혼합식,개별난방,위탁관리,분양,서울특별시 용산구 독서당로6길 16,119.0,신영토건주식회사,서울특별시 용산구 한남동 802- 한남리버탑아파트,2.0,신영토건주식회사,A10023379,1,027943728,11656.2508,15.0,0.0,54.0,50.0,한남리버탑아파트,16642.0,027943727,15, ,20010403.0,3.0,119.0,15.0,9176.76,4410.0,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 용산구 한남동 802-,37.5297888647806,127.00803368655
