bjdCode,codeAptNm,codeHallNm,codeHeatNm,codeMgrNm,codeSaleNm,address,hoCnt,kaptAcompany,kaptAddr,kaptBaseFloor,kaptBcompany,kaptCode,kaptDongCnt,kaptFax,kaptMarea,kaptMparea_135,kaptMparea_136,kaptMparea_60,kaptMparea_85,kaptName,kaptTarea,kaptTel,kaptTopFloor,kaptUrl,kaptUsedate,kaptdEcntp,kaptdaCnt,ktownFlrNo,privArea,zipcode,전기사용금액,가스사용금액,난방사용금액,전기사용량,가스사용량,난방사용량,냉수사용량,온수사용량,냉수사용금액,온수사용금액,집계날짜,cleaned_address,lat,lon
1138010700,아파트,복도식,개별난방,위탁관리,임대,서울 은평구 백련산로 146-30,136.0,서울시,서울특별시 은평구 응암동 176-1 응암sh빌아파트,2.0,우응조동산건설,A10020935,1,023539104,6578.32,0.0,0.0,136.0,0.0,응암sh빌아파트,9919.57,023539103,14, ,20080717.0,,136.0,,,,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 은평구 응암동 176-1,37.5980401983599,126.926865459421
1138010800,아파트,,,,혼합,서울 은평구 갈현로7길 25,, ,서울특별시 은평구 역촌동 189-1 센트레빌아스테리움시그니처아파트,, ,A10021056,1, ,0.0,,,,,센트레빌아스테리움시그니처아파트,0.0,02-2138-0601,1, ,20241125.0,,,,,,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 은평구 역촌동 189-1,37.6041057910281,126.907409235632
1138011000,아파트,,,,분양,서울 은평구 증산로 333,, ,서울특별시 은평구 증산동 250- DMC월드아파트,, ,A10021150,1, ,0.0,,,,,DMC월드아파트,0.0,023060246,1, ,20020702.0,,,,,,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 은평구 증산동 250-,37.5861942017317,126.911677057515
1138010700,아파트,계단식,개별난방,자치관리,분양,서울 은평구 은평로 160,124.0,(주)엘엔씨산업개발,서울특별시 은평구 응암동 96-18 경향렉스빌아파트,4.0,(주)엘엔씨산업개발,A10021263,1, ,14911.43,80.0,44.0,0.0,0.0,경향렉스빌아파트,26426.0,023582299,1, ,20040802.0,3.0,124.0,,,,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 은평구 응암동 96-18,37.6007900164073,126.925702377167
1138010400,아파트,복도식,개별난방,자치관리,분양,서울 은평구 갈현로29길 61,123.0,시행특경대주택조합외 1개회사,서울특별시 은평구 갈현동 267-1 라이프시티아파트,1.0,주식회사 라이프,A10021288,1,023876093,12957.71,123.0,0.0,0.0,0.0,라이프시티아파트,13098.0,023875093,15, ,19911118.0,2.0,123.0,,,,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 은평구 갈현동 267-1,37.6230217417807,126.910402990599
1138010900,아파트,,,,분양,서울 은평구 증산로15길 50,, ,서울특별시 은평구 신사동 368- 신사대주파크빌,, ,A10021335,1, ,,,,,,신사대주파크빌,,023720669,1, ,20040629.0,,,,,,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 은평구 신사동 368-,37.5906823864537,126.908112134355
1138010400,아파트,혼합식,개별난방,위탁관리,분양,서울 은평구 갈현로45길 57,140.0,(주)건영,서울특별시 은평구 갈현동 541-1 갈현동건영아파트,2.0,(주)건영,A10021391,1,023566845,13170.689,101.0,0.0,0.0,39.0,갈현동건영아파트,20336.0,023556845,17, ,20010403.0,4.0,140.0,,,,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 은평구 갈현동 541-1,37.628975972544,126.913380555986
1138010900,,복도식,개별난방,자치관리,분양,서울 은평구 증산로21길 11,116.0,삼부토건,서울특별시 은평구 신사동 361- 신사삼부아파트,1.0,삼부토건,A10022090,1,07073452514,11262.89,67.0,0.0,0.0,49.0,신사삼부아파트,11263.0,023722514,16, ,20010628.0,,116.0,,,,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 은평구 신사동 361-,37.5957074100985,126.913495001001
1138010300,아파트,혼합식,,위탁관리,분양,서울 은평구 불광로 98-8,100.0,대호건설,서울특별시 은평구 불광동 629- 대호103동  아파트,1.0,대호건설,A10022158,1,023537352,10.0,15.0,32.0,0.0,53.0,대호103동  아파트,10.0,023537352,16, ,19991201.0,1.0,100.0,,,,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 은평구 불광동 629-,37.6147632328943,126.93331346676
1138011400,아파트,계단식,,위탁관리,분양,서울 은평구 진관3로 21,146.0,DS네트웍스,서울특별시 은평구 진관동 65- 은평뉴타운엘크루,4.0,대우조선해양건설주식회사,A10022206,3,023896351,19.0,146.0,0.0,0.0,0.0,은평뉴타운엘크루,38.0,023896375,20, ,20170214.0,9.0,146.0,,,,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 은평구 진관동 65-,37.6396025010646,126.919014455213
