bjdCode,codeAptNm,codeHallNm,codeHeatNm,codeMgrNm,codeSaleNm,address,hoCnt,kaptAcompany,kaptAddr,kaptBaseFloor,kaptBcompany,kaptCode,kaptDongCnt,kaptFax,kaptMarea,kaptMparea_135,kaptMparea_136,kaptMparea_60,kaptMparea_85,kaptName,kaptTarea,kaptTel,kaptTopFloor,kaptUrl,kaptUsedate,kaptdEcntp,kaptdaCnt,ktownFlrNo,privArea,zipcode,전기사용금액,가스사용금액,난방사용금액,전기사용량,가스사용량,난방사용량,냉수사용량,온수사용량,냉수사용금액,온수사용금액,집계날짜,cleaned_address,lat,lon
1126010500,아파트,계단식,개별난방,자치관리,분양,서울 중랑구 양원역로 37,250.0,경남건설,서울특별시 중랑구 망우동 226- 경남아파트,0.0,경남건설,A10020869,1, ,18478.7,60.0,0.0,0.0,190.0,경남아파트,19317.0,024345467,1, ,19890520.0,0.0,250.0,,,,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 중랑구 망우동 226-,37.6038146854883,127.107071692641
1126010200,아파트,복도식,개별난방,자치관리,임대,서울 중랑구 면목로 490,135.0,정호기업주식회사,서울특별시 중랑구 상봉동 102-57 상봉타워,2.0,정호비앤씨건설,A10020884,1, ,3569.37,0.0,0.0,135.0,0.0,상봉타워,6634.862,024928849,1, ,20190508.0,2.0,135.0,,,,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 중랑구 상봉동 102-57,37.5956441042638,127.086089016588
1126010400,주상복합,복도식,개별난방,위탁관리,분양,서울 중랑구 동일로 946,100.0,예화건설(주),서울특별시 중랑구 묵동 169-10 묵동신도브래뉴주상복합아파트,4.0,신도산업개발주식회사,A10020959,1,029723404,7406.0,0.0,0.0,0.0,100.0,묵동신도브래뉴주상복합아파트,16203.69,029723434,1,없음,20041012.0,1.0,100.0,,,,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 중랑구 묵동 169-10,37.6150265366805,127.07698944928
1126010500,아파트,계단식,,자치관리,분양,서울 중랑구 망우로81길 27,233.0,금호건설,서울특별시 중랑구 망우동 178-80 염광아파트,1.0,염광건설,A10020968,11, ,13.0,0.0,0.0,131.0,102.0,염광아파트,19.0,024322334,5, ,19830325.0,,233.0,,,,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 중랑구 망우동 178-80,37.6029156602567,127.10629365544
1126010300,아파트,계단식,개별난방,위탁관리,분양,서울 중랑구 중랑천로14길 34,118.0,대농연립주택조합,서울특별시 중랑구 중화동 454- 동양엔파트2차,2.0,동양엔파트,A10020974,2,024330065,13452.6,118.0,0.0,0.0,0.0,동양엔파트2차,19402.68,024330053,20, ,20130307.0,4.0,118.0,,,,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 중랑구 중화동 454-,37.5942032909884,127.074346217752
1126010300,주상복합,혼합식,개별난방,위탁관리,분양,서울 중랑구 동일로129길 35,103.0,태능시장(주),서울특별시 중랑구 중화동 314-1 태능시장 주상복합빌딩,3.0,CNC종합건설(주),A10021393,1, ,11097.533,98.0,0.0,0.0,5.0,태능시장 주상복합빌딩,23825.0,024328641,1, ,20050328.0,4.0,103.0,,,,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 중랑구 중화동 314-1,37.5992703826018,127.077554696692
1126010100,아파트,계단식,개별난방,위탁관리,분양,서울 중랑구 동일로 557,111.0,신우건설,서울특별시 중랑구 면목동 1518- 면목신우아파트,3.0,신우건설,A10021752,1, ,10467.78,57.0,0.0,0.0,54.0,면목신우아파트,15519.0,024345466,1, ,19980530.0,,111.0,,,,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 중랑구 면목동 1518-,37.5801402021885,127.079248746063
1126010500,아파트,계단식,,위탁관리,분양,서울 중랑구 용마산로115길 109,146.0,아주산업(주),서울특별시 중랑구 망우동 495- 한일써너스빌리젠시2단지,5.0,한일건설(주),A10021760,1,0222070047,16919.86,146.0,0.0,0.0,0.0,한일써너스빌리젠시2단지,43503.0,0222070040,27, ,20080401.0,1.0,146.0,,,,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 중랑구 망우동 495-,37.5974663223384,127.094160266661
1126010500,아파트,혼합식,개별난방,위탁관리,분양,서울 중랑구 용마산로116길 76,105.0,청광종합건설(주),서울특별시 중랑구 망우동 575- 망우동청광오뜨빌아파트,1.0,청광종합건설(주),A10021794,1, ,9871.951,70.0,0.0,0.0,35.0,망우동청광오뜨빌아파트,,024345059,15, ,20011218.0,0.0,105.0,,,,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 중랑구 망우동 575-,37.5995814298586,127.104811467931
1126010100,도시형 생활주택(아파트),복도식,개별난방,자치관리,분양,서울 중랑구 동일로109가길 5,149.0,(주)엠디플러스,서울특별시 중랑구 면목동 1535- 현대휴온아파트,1.0,현대아산(주),A10021891,1,024340334,6449.8,0.0,0.0,141.0,8.0,현대휴온아파트,6449.8,07045434200,1, ,20130329.0,0.0,149.0,,,,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 중랑구 면목동 1535-,37.5922400860881,127.078706865845
1126010200,,복도식,개별난방,위탁관리,임대,서울 중랑구 망우로 266,299.0,하나,서울특별시 중랑구 상봉동 118-8 상봉 동양엔파트,4.0,(주)동양,A10022528,1, ,15068.2775,0.0,0.0,224.0,75.0,상봉 동양엔파트,17350.0,0222083331,20, ,20240617.0,0.0,299.0,,,,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 중랑구 상봉동 118-8,37.595155324396,127.082159140005
1126010400,아파트,계단식,개별난방,위탁관리,분양,서울특별시 중랑구 동일로 942,80.0,BYC건설,서울특별시 중랑구 묵동 169-11 묵동위더스빌 주상복합,3.0,BYC건설,A10022599,1,0260130179,13147.986,14.0,0.0,0.0,66.0,묵동위더스빌 주상복합,19109.22,029481113,20, ,20100630.0,4.0,80.0,20.0,7102.28,2033.0,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 중랑구 묵동 169-11,37.6146708296243,127.077122619657
1126010200,도시형 생활주택(아파트),복도식,개별난방,자치관리,임대,서울특별시 중랑구 망우로50길 24,238.0,주식회사 조은집,서울특별시 중랑구 상봉동 90-3 봄작시티 24,3.0,주식회사 주함건설,A10022775,1, ,4246.6,0.0,0.0,238.0,0.0,봄작시티 24,12977.0,024356888,20, ,20230705.0,3.0,238.0,20.0,4246.6,2149.0,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 중랑구 상봉동 90-3,37.5959888312639,127.088874421113
1126010600,도시형 생활주택(아파트),,,,임대,서울특별시 중랑구 신내역로1길 142,, ,서울특별시 중랑구 신내동 826- 우디안3단지,, ,A10022836,1, ,,0.0,0.0,50.0,0.0,우디안3단지,,0234233603,1, ,20170904.0,0.0,50.0,5.0,1488.88,2263.0,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 중랑구 신내동 826-,37.6176622027121,127.11035297222
1126010500,아파트,계단식,지역난방,위탁관리,임대,서울특별시 중랑구 용마산로 670,495.0,(주)시티해양건설,서울특별시 중랑구 망우동 584- 신내역 시티프라디움 아파트,4.0,(주)시티건설 (주)시티종합건설,A10022919,4, ,56333.9841,0.0,0.0,0.0,495.0,신내역 시티프라디움 아파트,86297.6953,024338897,40,sscp.aptstory.com,20231120.0,10.0,495.0,40.0,42032.7882,2057.0,29455150,0,42582780,101501,0,443,5719,2532,6572460,11674020,202401,서울특별시 중랑구 망우동 584-,37.6119441454331,127.102489000658
1126010400,아파트,계단식,개별난방,위탁관리,혼합,서울특별시 중랑구 중랑천로 316,141.0,현대해상화재보험,서울특별시 중랑구 묵동 392- 묵동월드메르디앙,1.0,월드건설,A10023285,4,029733001,14434.57,0.0,0.0,1.0,140.0,묵동월드메르디앙,17656.57,029733001,12, ,20090319.0,7.0,141.0,12.0,11753.31,2004.0,0,0,0,0,0,0,2539,0,0,0,202401,서울특별시 중랑구 묵동 392-,37.6132804037442,127.073338722026
1126010100,아파트,혼합식,개별난방,위탁관리,혼합,서울특별시 중랑구 용마산로84길 9-16,243.0,조합,서울특별시 중랑구 면목동 1549- 용마산모아엘가파크포레,2.0,혜림건설,A10023384,5,0222099041,22781.94,0.0,0.0,85.0,158.0,용마산모아엘가파크포레,33806.58,0222099040,15, ,20230127.0,10.0,243.0,15.0,18179.89,2193.0,21728120,0,0,0,0,0,3377,0,3892290,0,202401,서울특별시 중랑구 면목동 1549-,37.5855423107625,127.095747744909
1126010100,아파트,복도식,개별난방,자치관리,분양,서울특별시 중랑구 사가정로41길 9,122.0,두산,서울특별시 중랑구 면목동 1500- 면목1차두산아파트,1.0,두산,A10023606,1,024372661,11102.84,0.0,0.0,70.0,52.0,면목1차두산아파트,11102.84,024372660,15, ,19930201.0,2.0,122.0,15.0,8596.44,2227.0,0,0,0,0,0,0,0,0,0,0,202401,서울특별시 중랑구 면목동 1500-,37.5816522208885,127.083981519364
1126010400,도시형 생활주택(주상복합),복도식,개별난방+기타,위탁관리,임대,서울특별시 중랑구 동일로 952,249.0,(주)지영사,서울특별시 중랑구 묵동 169-12 로프트원 태릉입구역,4.0,파인건설(주),A10023815,1,029728487,11241.13,0.0,0.0,249.0,0.0,로프트원 태릉입구역,16260.56,029728486,15, ,20200108.0,2.0,249.0,15.0,3716.34,2033.0,7440130,0,3422070,23607,0,21740,1074,479,1241460,2155500,202401,서울특별시 중랑구 묵동 169-12,37.6153331239502,127.076880465585
